date,season,league,home_team,away_team,target_result,target_home_goals,target_away_goals,home_elo,away_elo,elo_diff,implied_prob_home,implied_prob_draw,implied_prob_away,odds_ratio,raw_odds_home,raw_odds_draw,raw_odds_away,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_avg_xg_scored,home_avg_xg_conceded,home_xg_vs_goals_diff,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,home_form_trend,home_recent_ppg_last3,home_recent_goals_scored_last3,home_recent_goals_conceded_last3,home_recent_clean_sheets_last3,home_draw_ratio_last3,home_recent_ppg_last5,home_recent_goals_scored_last5,home_recent_goals_conceded_last5,home_recent_clean_sheets_last5,home_draw_ratio_last5,home_recent_ppg_last10,home_recent_goals_scored_last10,home_recent_goals_conceded_last10,home_recent_clean_sheets_last10,home_draw_ratio_last10,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_avg_xg_scored,away_avg_xg_conceded,away_xg_vs_goals_diff,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio,away_form_trend,away_recent_ppg_last3,away_recent_goals_scored_last3,away_recent_goals_conceded_last3,away_recent_clean_sheets_last3,away_draw_ratio_last3,away_recent_ppg_last5,away_recent_goals_scored_last5,away_recent_goals_conceded_last5,away_recent_clean_sheets_last5,away_draw_ratio_last5,away_recent_ppg_last10,away_recent_goals_scored_last10,away_recent_goals_conceded_last10,away_recent_clean_sheets_last10,away_draw_ratio_last10,diff_ppg,diff_recent_ppg,diff_goals_scored,diff_goals_conceded,diff_xg_scored,diff_shots,diff_possession,diff_form_trend,combined_draw_tendency,match_competitiveness,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_avg,h2h_away_goals_avg,h2h_matches_count,days_since_last_match_home,matches_last_7_days_home,days_since_last_match_away,matches_last_7_days_away,is_midweek_match
2016-08-12 18:00:00,2016-to-2017,France,Bastia,PSG,AwayWin,0,1,1503.4376323070662,1774.3913582484067,-270.9537259413405,0.13981406689563708,0.2314736451930144,0.6287122879113487,0.22238163558106172,6.97,4.21,1.55,114,38.0,29.0,47.0,1.2543859649122806,1.0087719298245614,1.280701754385965,-0.2719298245614035,0.4755555555555555,0.46861471861471854,0.0,0.0,1.0087719298245614,0.12806236080178174,0.5066815144766147,7.87719298245614,3.991228070175439,46.421052631578945,2.1730914588057444,3.692982456140351,0.27315914489311166,13.736842105263158,2.026315789473684,0.18421052631578946,0.38095238095238093,57,0.5087719298245614,1.2456140350877194,0.8771929824561403,0.32456140350877194,0.6578947368421053,0.017543859649122806,0.02631578947368421,1.1333333333333335,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.4,1.0,1.0,0.4,0.2,1.2,0.9,1.3,0.3,0.3,114,81,25,8,2.3508771929824563,2.3596491228070176,0.6842105263157895,1.6754385964912282,0.44823717948717945,0.4971751412429378,0.0,0.0,2.3596491228070176,0.21711057304277642,0.5044390637610977,10.868421052631579,5.482456140350878,61.526315789473685,3.8351867693185056,5.201754385964913,0.4536256323777403,11.008771929824562,1.5087719298245614,0.043859649122807015,0.3220338983050847,57,0.631578947368421,1.8771929824561404,0.7894736842105263,0.4824561403508772,0.9122807017543859,0.02631578947368421,0.0,0.03333333333333366,2.3333333333333335,3.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.6,3.8,0.2,0.8,0.2,2.3,3.4,0.4,0.7,0.2,-1.0964912280701757,-1.2000000000000002,-1.3508771929824561,0.5964912280701754,0.0,-2.9912280701754383,-15.10526315789474,1.0999999999999999,0.2,1.0964912280701757,1,4,0,0.8,2.2,5,89,0,89,0,0
2016-08-12 18:30:00,2016-to-2017,France,Monaco,Guingamp,Draw,2,2,1635.165450608105,1477.1194999727181,158.04595063538682,0.5912946871988052,0.25210238601499446,0.1566029267862004,3.7757575757575763,1.65,3.87,6.23,114,60.0,36.0,18.0,1.894736842105263,1.5,0.9385964912280702,0.5614035087719298,0.4659863945578232,0.39520202020202017,0.0,0.0,1.5,0.15132743362831858,0.4982300884955752,9.912280701754385,4.93859649122807,51.10526315789474,2.9351184346035017,5.517543859649122,0.2718600953895072,13.263157894736842,1.8333333333333333,0.07894736842105263,0.3119266055045872,57,0.5263157894736842,1.4912280701754386,0.7543859649122807,0.42105263157894735,0.8596491228070176,0.02631578947368421,0.017543859649122806,0.5,2.0,2.0,2.6666666666666665,0.3333333333333333,0.0,2.0,1.8,2.0,0.2,0.2,1.5,1.7,2.0,0.2,0.3,114,37,24,53,1.1842105263157894,1.0701754385964912,1.3421052631578947,-0.2719298245614035,0.38773148148148145,0.38644018583042977,0.0,0.0,1.0701754385964912,0.12385786802030457,0.4761421319796954,8.640350877192983,4.114035087719298,44.79824561403509,2.3888780105737224,4.412280701754386,0.24254473161033796,12.947368421052632,1.8157894736842106,0.15789473684210525,0.35555555555555557,57,0.24561403508771928,0.8245614035087719,1.4736842105263157,0.2807017543859649,0.631578947368421,0.017543859649122806,0.017543859649122806,-0.8666666666666667,0.3333333333333333,1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,1.0,1.6,1.4,0.4,0.4,1.2,1.4,1.6,0.4,0.3,0.7105263157894737,1.0,0.4298245614035088,-0.4035087719298245,0.0,1.2719298245614024,6.307017543859651,1.3666666666666667,0.30000000000000004,0.7105263157894737,2,1,2,1.6,1.4,5,89,0,89,0,0
2016-08-13 15:00:00,2016-to-2017,France,Bordeaux,Saint-Étienne,HomeWin,3,2,1537.235450604463,1576.8875190100757,-39.65206840561268,0.3884010922909466,0.31346840567532985,0.2981305020337235,1.3027888446215141,2.51,3.11,3.27,114,42.0,40.0,32.0,1.456140350877193,1.280701754385965,1.263157894736842,0.017543859649122806,0.43793103448275866,0.3905882352941177,0.0,0.0,1.280701754385965,0.13581395348837208,0.47348837209302325,9.429824561403509,4.464912280701754,50.64035087719298,2.5290143772735147,4.93859649122807,0.25932504440497334,12.587719298245615,1.780701754385965,0.15789473684210525,0.38009049773755654,57,0.5263157894736842,1.5614035087719298,1.105263157894737,0.2543859649122807,0.7631578947368421,0.008771929824561403,0.03508771929824561,0.033333333333333215,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.4,1.8,1.4,0.2,0.2,1.3,1.3,1.4,0.2,0.4,114,56,28,30,1.719298245614035,1.3070175438596492,0.8859649122807017,0.42105263157894735,0.3556862745098039,0.37604166666666666,0.0,0.0,1.3070175438596492,0.1263782866836302,0.4902459711620017,10.342105263157896,5.0701754385964914,49.85087719298246,2.62185465423192,5.087719298245614,0.25689655172413794,14.491228070175438,1.8596491228070176,0.07894736842105263,0.3574660633484163,57,0.38596491228070173,0.9824561403508771,1.0526315789473684,0.43859649122807015,0.7456140350877193,0.008771929824561403,0.008771929824561403,-1.3666666666666667,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,1.4,0.6,0.6,0.6,0.2,1.7,0.9,0.5,0.7,0.2,-0.26315789473684204,0.0,-0.026315789473684292,0.3771929824561403,0.0,-0.912280701754387,0.7894736842105203,1.4,0.2,0.26315789473684204,2,1,2,1.2,1.2,5,90,0,90,0,0
2016-08-13 18:00:00,2016-to-2017,France,Montpellier,Angers SCO,HomeWin,1,0,1516.4760353241645,1492.1631845970783,24.312850727086243,0.4690491384811742,0.30972133588598166,0.22122952563284407,2.1201923076923075,2.08,3.15,4.41,114,38.0,33.0,43.0,1.2894736842105263,1.2280701754385965,1.219298245614035,0.008771929824561403,0.4711904761904762,0.46445783132530116,0.0,0.0,1.2280701754385965,0.13806706114398423,0.46055226824457596,8.894736842105264,4.0964912280701755,48.175438596491226,2.5491624180626364,4.640350877192983,0.2646502835538752,12.394736842105264,1.5701754385964912,0.14912280701754385,0.33163265306122447,57,0.43859649122807015,1.368421052631579,1.105263157894737,0.2719298245614035,0.6140350877192983,0.03508771929824561,0.008771929824561403,0.6000000000000001,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,2.4,2.2,1.0,0.4,0.0,1.4,1.3,1.4,0.3,0.2,38,13,11,14,1.3157894736842106,1.0526315789473684,1.0,0.05263157894736842,0.5575757575757575,0.43968253968253973,0.0,0.0,1.0526315789473684,0.12861736334405144,0.4212218649517685,8.18421052631579,3.4473684210526314,43.73684210526316,2.406738868832732,3.5526315789473686,0.2962962962962963,13.105263157894736,1.8421052631578947,0.15789473684210525,0.35526315789473684,19,0.3684210526315789,1.0526315789473684,1.2105263157894737,0.4473684210526316,0.5789473684210527,0.0,0.07894736842105263,-1.2,0.0,0.6666666666666666,1.6666666666666667,0.0,0.0,0.8,1.0,1.2,0.2,0.2,1.2,1.1,0.9,0.4,0.3,-0.026315789473684292,1.5999999999999999,0.17543859649122817,0.2192982456140351,0.0,0.7105263157894743,4.438596491228068,1.8,0.1,0.026315789473684292,1,1,0,1.5,2.0,2,90,0,90,0,0
2016-08-13 18:00:00,2016-to-2017,France,Caen,Lorient,HomeWin,3,2,1508.6935849344186,1477.6827675876298,31.010817346788826,0.44352617079889806,0.303030303030303,0.25344352617079885,1.75,2.2,3.22,3.85,76,28.0,16.0,32.0,1.3157894736842106,1.2236842105263157,1.4078947368421053,-0.18421052631578946,0.3974358974358974,0.4771186440677966,0.0,0.0,1.2236842105263157,0.13229018492176386,0.47652916073968704,9.25,4.407894736842105,44.473684210526315,2.7514792899408285,5.144736842105263,0.23785166240409208,11.618421052631579,1.2894736842105263,0.15789473684210525,0.38181818181818183,38,0.42105263157894735,1.1842105263157894,1.263157894736842,0.2236842105263158,0.6842105263157895,0.02631578947368421,0.013157894736842105,1.1333333333333335,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6,0.8,1.6,0.4,0.4,1.2,0.9,1.6,0.2,0.3,114,36,30,48,1.2105263157894737,1.219298245614035,1.412280701754386,-0.19298245614035087,0.53008658008658,0.4565891472868217,0.0,0.0,1.219298245614035,0.13482056256062075,0.47623666343355964,9.043859649122806,4.307017543859649,47.58771929824562,2.5622119815668203,4.745614035087719,0.25693160813308685,11.412280701754385,1.4824561403508771,0.13157894736842105,0.3423913043478261,57,0.2631578947368421,1.1754385964912282,1.719298245614035,0.24561403508771928,0.6754385964912281,0.05263157894736842,0.017543859649122806,0.09999999999999998,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.8,0.4,1.4,0.2,0.2,0.9,0.7,1.7,0.2,0.3,0.10526315789473695,0.8,0.004385964912280604,-0.004385964912280604,0.0,0.2061403508771935,-3.1140350877193015,1.0333333333333337,0.30000000000000004,0.10526315789473695,1,3,0,1.0,1.75,4,90,0,90,0,0
2016-08-13 18:00:00,2016-to-2017,France,Metz,Lille,HomeWin,3,2,1396.9122091891052,1603.1451525622658,-206.23294337316065,0.28114672431619514,0.31572140238744245,0.4031318732963624,0.6974063400576368,3.47,3.09,2.42,38,7.0,9.0,22.0,0.7894736842105263,0.8157894736842105,1.605263157894737,-0.7894736842105263,0.392156862745098,0.42241379310344823,0.0,0.0,0.8157894736842105,0.08611111111111111,0.4777777777777778,9.473684210526315,4.526315789473684,44.526315789473685,1.8321513002364065,4.078947368421052,0.2,15.552631578947368,1.9473684210526316,0.07894736842105263,0.4805194805194805,19,0.3157894736842105,1.368421052631579,1.6842105263157894,0.23684210526315788,0.4473684210526316,0.0,0.02631578947368421,-0.8,0.0,0.3333333333333333,3.3333333333333335,0.0,0.0,0.0,0.4,3.0,0.0,0.0,0.8,1.1,2.2,0.1,0.2,114,51,34,29,1.6403508771929824,1.1228070175438596,0.8333333333333334,0.2894736842105263,0.47046413502109713,0.4098360655737705,0.0,0.0,1.1228070175438596,0.11218229623137599,0.4758983347940403,10.008771929824562,4.7631578947368425,51.333333333333336,2.1872863978127137,4.9298245614035086,0.2277580071174377,13.447368421052632,1.7894736842105263,0.14035087719298245,0.39545454545454545,57,0.3157894736842105,0.9824561403508771,1.087719298245614,0.4649122807017544,0.6929824561403509,0.008771929824561403,0.008771929824561403,-0.2666666666666666,2.3333333333333335,0.6666666666666666,0.0,1.0,0.3333333333333333,2.2,1.2,0.4,0.8,0.4,2.6,1.8,0.4,0.7,0.2,-0.8508771929824561,-2.2,-0.3070175438596491,0.7719298245614036,0.0,-0.5350877192982466,-6.807017543859651,-0.5333333333333334,0.2,0.8508771929824561,0,1,1,0.5,2.0,2,447,0,90,0,0
2016-08-14 15:00:00,2016-to-2017,France,Nice,Rennes,HomeWin,1,0,1561.3375629321445,1505.9883066038485,55.34925632829595,0.40817870883391966,0.31068379430352483,0.2811374968625556,1.4518828451882846,2.39,3.14,3.47,114,43.0,24.0,47.0,1.3421052631578947,1.1578947368421053,1.2105263157894737,-0.05263157894736842,0.5032615786040443,0.49345991561181435,0.0,0.0,1.1578947368421053,0.12852969814995133,0.4878286270691334,9.008771929824562,4.394736842105263,50.90350877192982,2.2746855074961227,4.543859649122807,0.2548262548262548,12.429824561403509,1.8859649122807018,0.14912280701754385,0.3706896551724138,57,0.49122807017543857,1.3157894736842106,0.9824561403508771,0.30701754385964913,0.6403508771929824,0.043859649122807015,0.017543859649122806,-0.20000000000000018,2.0,1.6666666666666667,1.0,0.3333333333333333,0.0,2.0,1.6,0.8,0.4,0.2,2.2,1.9,0.9,0.5,0.1,114,37,37,40,1.2982456140350878,1.1754385964912282,1.236842105263158,-0.06140350877192982,0.41388888888888886,0.40946502057613177,0.0,0.0,1.1754385964912282,0.14105263157894737,0.48736842105263156,8.333333333333334,4.06140350877193,49.666666666666664,2.3666548922642177,4.201754385964913,0.2797494780793319,11.710526315789474,1.5526315789473684,0.07017543859649122,0.34054054054054056,57,0.3157894736842105,1.105263157894737,1.2456140350877194,0.2894736842105263,0.6842105263157895,0.008771929824561403,0.017543859649122806,-1.1,0.0,0.3333333333333333,2.6666666666666665,0.0,0.0,0.2,0.4,2.4,0.0,0.2,1.1,1.6,2.1,0.0,0.2,0.04385964912280693,1.8,-0.01754385964912286,-0.026315789473684292,0.0,0.6754385964912277,1.2368421052631575,0.8999999999999999,0.2,0.04385964912280693,2,2,1,1.8,1.0,5,91,0,91,0,0
2016-08-14 18:45:00,2016-to-2017,France,Olympique Marseille,Toulouse,Draw,0,0,1545.2415009895642,1465.473990630345,79.76751035921916,0.5061135109380572,0.2856137649445761,0.20827272411736678,2.430051813471503,1.93,3.42,4.69,114,47.0,36.0,31.0,1.5526315789473684,1.5526315789473684,1.087719298245614,0.4649122807017544,0.38025362318840583,0.39285714285714285,0.0,0.0,1.5526315789473684,0.14320388349514562,0.47896440129449835,10.842105263157896,5.192982456140351,54.25438596491228,2.8617623282134197,5.605263157894737,0.27699530516431925,13.25438596491228,1.7543859649122806,0.13157894736842105,0.34418604651162793,57,0.45614035087719296,1.7017543859649122,1.1578947368421053,0.2631578947368421,0.8070175438596491,0.008771929824561403,0.02631578947368421,1.2333333333333334,2.3333333333333335,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6,1.0,0.8,0.4,0.4,1.1,1.0,1.3,0.3,0.5,114,33,32,49,1.1491228070175439,1.1754385964912282,1.5087719298245614,-0.3333333333333333,0.42062499999999997,0.4661172161172162,0.0,0.0,1.1754385964912282,0.12641509433962264,0.45,9.298245614035087,4.184210526315789,50.69298245614035,2.31874026648209,4.657894736842105,0.2523540489642185,14.12280701754386,1.912280701754386,0.17543859649122806,0.38235294117647056,57,0.24561403508771928,0.9473684210526315,1.6842105263157894,0.20175438596491227,0.7017543859649122,0.043859649122807015,0.03508771929824561,0.5333333333333334,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6,1.4,1.2,0.4,0.4,1.8,1.8,0.8,0.5,0.3,0.4035087719298245,0.0,0.3771929824561402,-0.42105263157894735,0.0,1.5438596491228083,3.5614035087719316,0.7,0.4,0.4035087719298245,2,0,3,2.4,1.0,5,91,0,91,0,0
2016-08-19 18:45:00,2016-to-2017,France,Olympique Lyonnais,Caen,HomeWin,2,0,1633.082858939155,1515.091900456873,117.99095848228194,0.6779800642557048,0.20339401927671144,0.11862591646758383,5.715277777777779,1.44,4.8,8.23,115,59.0,27.0,29.0,1.7739130434782608,1.7217391304347827,1.0434782608695652,0.6782608695652174,0.4195652173913043,0.4525821596244131,0.0,0.0,1.7217391304347827,0.16189697465249386,0.47751430907604253,10.634782608695652,5.078260869565217,56.130434782608695,3.067389620449264,4.904347826086957,0.35106382978723405,14.2,1.6782608695652175,0.09565217391304348,0.37254901960784315,57,0.5964912280701754,1.9649122807017543,0.7368421052631579,0.3826086956521739,0.8,0.02608695652173913,0.008695652173913044,-0.2999999999999998,2.0,3.3333333333333335,1.6666666666666667,0.3333333333333333,0.0,2.4,3.0,1.6,0.2,0.0,2.3,2.5,1.2,0.3,0.2,77,29,16,32,1.3376623376623376,1.2467532467532467,1.4155844155844155,-0.16883116883116883,0.4025157232704402,0.4858333333333333,0.0,0.0,1.2467532467532467,0.13464235624123422,0.47685834502103785,9.25974025974026,4.415584415584416,44.61038961038961,2.7947598253275108,5.207792207792208,0.23940149625935161,11.623376623376624,1.2857142857142858,0.15584415584415584,0.3783783783783784,38,0.3157894736842105,1.263157894736842,1.5526315789473684,0.22077922077922077,0.6883116883116883,0.025974025974025976,0.012987012987012988,1.6,3.0,2.0,1.0,0.3333333333333333,0.0,2.2,1.4,0.8,0.4,0.4,1.4,1.0,1.6,0.2,0.2,0.4362507058159233,0.19999999999999973,0.47498588368153594,-0.3721061547148503,0.0,1.3750423489553913,11.520045172219085,-1.9,0.2,0.4362507058159233,3,1,0,2.75,1.0,4,5,1,6,1,0
2016-08-20 15:00:00,2016-to-2017,France,Nantes,Monaco,AwayWin,0,1,1493.1841910014903,1628.8576179027689,-135.67342690127862,0.3548080614575618,0.31886345392427934,0.32632848461815883,1.0872727272727274,2.75,3.06,2.99,115,37.0,34.0,44.0,1.2608695652173914,0.8956521739130435,1.1043478260869566,-0.20869565217391303,0.4523809523809524,0.4678082191780822,0.0,0.0,0.8956521739130435,0.0998062015503876,0.45445736434108525,8.97391304347826,4.078260869565217,46.89565217391304,1.909883181902466,4.51304347826087,0.19845857418111754,14.121739130434783,1.8434782608695652,0.10434782608695652,0.34375,57,0.40350877192982454,1.0175438596491229,0.9824561403508771,0.3652173913043478,0.6086956521739131,0.0,0.017391304347826087,0.0,1.0,0.6666666666666666,2.0,0.3333333333333333,0.0,1.4,0.8,1.4,0.4,0.2,1.0,0.7,1.6,0.3,0.1,115,60,37,18,1.8869565217391304,1.5043478260869565,0.9478260869565217,0.5565217391304348,0.46127946127946134,0.404228855721393,0.0,0.0,1.5043478260869565,0.15148861646234676,0.4956217162872154,9.930434782608696,4.921739130434783,51.23478260869565,2.936184657162254,5.539130434782609,0.271585557299843,13.26086956521739,1.8434782608695652,0.0782608695652174,0.31221719457013575,57,0.5263157894736842,1.5087719298245614,1.1228070175438596,0.41739130434782606,0.8608695652173913,0.02608695652173913,0.017391304347826087,-0.16666666666666674,1.3333333333333333,1.6666666666666667,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.6,1.8,2.2,0.2,0.4,1.5,1.7,2.0,0.2,0.3,-0.6260869565217391,-0.20000000000000018,-0.608695652173913,0.15652173913043488,0.0,-0.9565217391304355,-4.339130434782611,0.16666666666666674,0.30000000000000004,0.6260869565217391,0,4,1,0.2,1.2,5,6,1,7,0,0
