date,season,home_team,away_team,target_result,target_home_goals,target_away_goals,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_recent_goals_scored,home_recent_goals_conceded,home_recent_points_per_game,home_recent_clean_sheets,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_recent_goals_scored,away_recent_goals_conceded,away_recent_points_per_game,away_recent_clean_sheets,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio
2018-08-18 18:00:00,2018-to-2019,Dijon,Nantes,HomeWin,2,0,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.25,0.625,8.0,5.0,49.0,4.081632653061225,2.0,1.0,21.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.06666666666666667,0.3333333333333333,15.0,5.0,63.0,1.5873015873015872,7.0,0.14285714285714285,8.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-18 18:00:00,2018-to-2019,Monaco,Lille,Draw,0,0,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,0.2727272727272727,0.6363636363636364,11.0,7.0,37.0,8.108108108108109,2.0,1.5,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.3333333333333333,1.0,3.0,1.0,3.0,0.0,0.2727272727272727,0.6363636363636364,11.0,7.0,47.0,6.382978723404255,2.0,1.5,12.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-18 18:00:00,2018-to-2019,Rennes,Angers SCO,HomeWin,1,0,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,1.0,0.3333333333333333,1.0,3.0,0.0,0.0,0.25,0.75,4.0,3.0,53.0,1.8867924528301887,6.0,0.16666666666666666,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,1.0,0.0,3.0,4.0,-1.0,0.3333333333333333,0.25,3.0,4.0,0.0,0.0,0.1875,0.5,16.0,8.0,58.0,5.172413793103448,5.0,0.6,20.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-24 18:45:00,2018-to-2019,Olympique Lyonnais,Strasbourg,HomeWin,2,0,2,1.0,0.0,1.0,1.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,1.5,0.5,0.08,0.56,12.5,7.0,67.0,1.4925373134328357,7.0,0.14285714285714285,9.5,0.0,0.0,0.0,1,1.0,2.0,0.0,0.5,0.5,0.0,0.0,2,1.0,1.0,0.0,2.0,1.5,0.5,1.0,0.0,0.0,1.5,0.5,2.0,0.5,0.11538461538461539,0.5,13.0,6.5,62.5,2.4,8.5,0.17647058823529413,11.5,0.5,0.0,1.0,1,1.0,2.0,0.0,0.5,1.0,0.0,0.0
2018-08-25 15:00:00,2018-to-2019,PSG,Angers SCO,HomeWin,3,1,2,2.0,0.0,0.0,3.0,3.0,0.5,2.5,0.3333333333333333,1.0,3.0,0.5,3.0,0.5,0.23076923076923078,0.6538461538461539,13.0,8.5,65.5,4.580152671755725,6.5,0.46153846153846156,14.5,1.0,0.0,0.5,1,1.0,3.0,0.0,0.5,1.0,0.5,0.0,2,0.0,0.0,2.0,0.0,1.5,2.5,-1.0,0.3333333333333333,0.125,1.5,2.5,0.0,0.0,0.13043478260869565,0.34782608695652173,11.5,4.0,50.0,3.0,2.5,0.6,15.5,2.0,0.0,0.5,1,0.0,0.0,1.0,0.0,0.5,0.0,0.0
2018-08-25 18:00:00,2018-to-2019,Montpellier,Saint-Étienne,Draw,0,0,2,1.0,0.0,1.0,1.5,1.5,1.5,0.0,0.5,0.0,1.5,1.5,1.5,0.0,0.13636363636363635,0.5454545454545454,11.0,6.0,47.0,3.1914893617021276,3.0,0.5,15.0,2.5,0.0,0.2,1,0.0,1.0,2.0,0.0,1.0,0.0,0.5,2,1.0,1.0,0.0,2.0,1.5,1.0,0.5,0.25,0.0,1.5,1.0,2.0,0.0,0.17647058823529413,0.5882352941176471,8.5,5.0,42.5,3.5294117647058822,4.0,0.375,10.5,2.5,0.5,0.3333333333333333,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2018-08-25 18:00:00,2018-to-2019,Nantes,Caen,Draw,1,1,2,0.0,0.0,2.0,0.0,0.5,2.5,-2.0,0.0,0.25,0.5,2.5,0.0,0.0,0.05,0.25,10.0,2.5,65.5,0.7633587786259541,5.5,0.09090909090909091,10.5,1.0,0.5,0.3333333333333333,1,0.0,1.0,3.0,0.0,0.5,0.0,0.0,2,0.0,1.0,1.0,0.5,0.5,2.0,-1.5,0.0,0.3333333333333333,0.5,2.0,0.5,0.0,0.07142857142857142,0.5,7.0,3.5,35.5,1.4084507042253522,4.0,0.125,14.5,1.0,0.0,0.5,1,0.0,0.0,3.0,0.0,0.5,0.0,0.0
2018-08-25 18:00:00,2018-to-2019,Nice,Dijon,AwayWin,0,4,2,0.0,1.0,1.0,0.5,0.5,1.0,-0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.04,0.32,12.5,4.0,67.0,0.7462686567164178,10.0,0.05,12.0,1.5,0.0,0.0,1,0.0,0.0,1.0,0.0,0.5,0.0,0.0,2,2.0,0.0,0.0,3.0,2.0,0.5,1.5,0.25,1.0,2.0,0.5,3.0,0.5,0.18181818181818182,0.5909090909090909,11.0,6.5,40.5,4.938271604938271,2.5,0.8,19.5,1.0,0.0,0.5,1,1.0,2.0,1.0,0.5,1.0,0.5,0.0
2018-08-25 18:00:00,2018-to-2019,Toulouse,Nîmes,HomeWin,1,0,2,1.0,0.0,1.0,1.5,1.0,2.5,-1.5,0.5,0.125,1.0,2.5,1.5,0.0,0.10526315789473684,0.42105263157894735,9.5,4.0,45.5,2.197802197802198,1.0,1.0,15.0,2.0,0.0,0.5,1,1.0,2.0,1.0,0.0,0.5,0.0,0.0,2,2.0,0.0,0.0,3.0,3.5,2.0,1.5,0.29166666666666663,0.16666666666666666,3.5,2.0,3.0,0.0,0.30434782608695654,0.6086956521739131,11.5,7.0,40.0,8.75,3.5,1.0,11.5,2.0,0.5,0.2,1,1.0,4.0,3.0,0.0,1.0,0.0,0.0
2018-08-26 13:00:00,2018-to-2019,Lille,Guingamp,HomeWin,3,0,2,1.0,1.0,0.0,2.0,1.5,0.5,1.0,0.3333333333333333,1.0,1.5,0.5,2.0,0.5,0.13043478260869565,0.5217391304347826,11.5,6.0,50.0,3.0,3.0,0.5,13.0,2.0,0.0,0.25,1,1.0,3.0,1.0,0.5,0.5,0.0,0.0,2,0.0,0.0,2.0,0.0,1.0,2.5,-1.5,0.5,0.25,1.0,2.5,0.0,0.0,0.1,0.5,10.0,5.0,45.5,2.197802197802198,6.5,0.15384615384615385,13.0,0.5,0.0,0.0,1,0.0,1.0,2.0,0.0,1.0,0.0,0.5
2018-08-26 15:00:00,2018-to-2019,Bordeaux,Monaco,HomeWin,2,1,2,0.0,0.0,2.0,0.0,0.5,2.0,-1.5,0.0,0.25,0.5,2.0,0.0,0.0,0.05,0.6,10.0,6.0,41.0,1.2195121951219512,2.5,0.2,8.5,1.0,0.5,0.3333333333333333,1,0.0,0.0,2.0,0.0,0.5,0.0,0.0,2,1.0,1.0,0.0,2.0,1.5,0.5,1.0,0.0,0.0,1.5,0.5,2.0,0.5,0.16666666666666666,0.5,9.0,4.5,42.0,3.571428571428571,5.0,0.3,12.5,0.5,0.0,1.0,1,1.0,3.0,1.0,0.5,0.5,0.0,0.0
2018-08-26 19:00:00,2018-to-2019,Olympique Marseille,Rennes,Draw,2,2,2,1.0,0.0,1.0,1.5,2.5,1.5,1.0,0.125,0.3333333333333333,2.5,1.5,1.5,0.5,0.16129032258064516,0.5806451612903226,15.5,9.0,61.0,4.098360655737705,6.0,0.4166666666666667,9.0,1.0,0.0,0.0,1,1.0,4.0,0.0,0.5,1.0,0.0,0.0,2,1.0,0.0,1.0,1.5,1.0,1.5,-0.5,0.5,0.3333333333333333,1.0,1.5,1.5,0.5,0.2222222222222222,0.6666666666666666,4.5,3.0,55.5,1.8018018018018018,4.5,0.2222222222222222,10.5,0.5,0.0,0.0,1,0.0,1.0,3.0,0.5,1.0,0.0,0.0
2018-08-31 18:45:00,2018-to-2019,Olympique Lyonnais,Nice,AwayWin,0,1,3,2.0,0.0,1.0,2.0,1.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.09523809523809523,0.5952380952380952,14.0,8.333333333333334,64.66666666666667,2.0618556701030926,6.333333333333333,0.21052631578947367,10.666666666666666,0.3333333333333333,0.0,1.0,2,1.0,2.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,3,0.0,1.0,2.0,0.3333333333333333,0.3333333333333333,2.0,-1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.0,0.024390243902439025,0.2926829268292683,13.666666666666666,4.0,63.0,0.5291005291005291,8.333333333333334,0.04,11.666666666666666,1.6666666666666667,0.0,0.0,1,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0
2018-09-01 15:00:00,2018-to-2019,Nîmes,PSG,AwayWin,2,4,3,2.0,0.0,1.0,2.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.29166666666666663,0.1111111111111111,2.3333333333333335,1.6666666666666667,2.0,0.0,0.23333333333333334,0.4666666666666667,10.0,4.666666666666667,39.333333333333336,5.932203389830509,3.3333333333333335,0.7,14.666666666666666,2.3333333333333335,0.3333333333333333,0.25,1,1.0,3.0,1.0,0.0,0.6666666666666666,0.0,0.0,3,3.0,0.0,0.0,3.0,3.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.0,3.0,0.6666666666666666,3.0,0.3333333333333333,0.24324324324324326,0.6216216216216216,12.333333333333334,7.666666666666667,63.333333333333336,4.736842105263158,7.333333333333333,0.4090909090909091,13.0,1.3333333333333333,0.0,0.5,1,1.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0
2018-09-01 18:00:00,2018-to-2019,Strasbourg,Nantes,AwayWin,2,3,3,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,0.0,0.25,1.0,1.0,1.3333333333333333,0.3333333333333333,0.08823529411764706,0.4411764705882353,11.333333333333334,5.0,55.0,1.8181818181818181,7.0,0.14285714285714285,12.0,1.0,0.0,1.0,1,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,2.0,-1.3333333333333333,0.0,0.5,0.6666666666666666,2.0,0.3333333333333333,0.0,0.0625,0.28125,10.666666666666666,3.0,65.33333333333333,1.0204081632653061,4.666666666666667,0.14285714285714285,12.333333333333334,1.3333333333333333,0.3333333333333333,0.4,1,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0
2018-09-01 18:00:00,2018-to-2019,Reims,Montpellier,AwayWin,0,1,3,2.0,0.0,1.0,2.0,1.0,1.3333333333333333,-0.3333333333333333,0.6666666666666666,0.25,1.0,1.3333333333333333,2.0,0.6666666666666666,0.13636363636363635,0.5,7.333333333333333,3.6666666666666665,35.333333333333336,2.8301886792452833,1.3333333333333333,0.75,14.0,1.6666666666666667,0.3333333333333333,0.5,1,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,3,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.3333333333333333,0.3333333333333333,0.09375,0.4375,10.666666666666666,4.666666666666667,46.333333333333336,2.158273381294964,4.0,0.25,14.0,2.6666666666666665,0.0,0.125,1,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
2018-09-01 18:00:00,2018-to-2019,Angers SCO,Lille,HomeWin,1,0,3,0.0,0.0,3.0,0.0,1.3333333333333333,2.6666666666666665,-1.3333333333333333,0.6666666666666666,0.19444444444444442,1.3333333333333333,2.6666666666666665,0.0,0.0,0.12121212121212122,0.45454545454545453,11.0,5.0,47.0,2.8368794326241136,2.0,0.6666666666666666,11.0,1.3333333333333333,0.0,0.5,1,0.0,3.0,4.0,0.0,0.6666666666666666,0.0,0.0,3,2.0,1.0,0.0,2.3333333333333335,2.0,0.3333333333333333,1.6666666666666667,0.5,1.0,2.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.17142857142857143,0.5714285714285714,11.666666666666666,6.666666666666667,49.333333333333336,4.054054054054054,3.3333333333333335,0.6,13.0,2.0,0.0,0.16666666666666666,1,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0
2018-09-01 18:00:00,2018-to-2019,Dijon,Caen,AwayWin,0,2,3,3.0,0.0,0.0,3.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.16666666666666666,1.0,2.6666666666666665,0.3333333333333333,3.0,0.6666666666666666,0.25,0.59375,10.666666666666666,6.333333333333333,42.0,6.349206349206349,2.6666666666666665,1.0,19.333333333333332,1.6666666666666667,0.0,0.6,1,1.0,2.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,3,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,-1.0,0.5,0.2222222222222222,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.0,0.1111111111111111,0.5555555555555556,6.0,3.3333333333333335,35.333333333333336,1.8867924528301887,3.0,0.2222222222222222,15.0,1.3333333333333333,0.3333333333333333,0.4,2,0.0,0.5,2.0,0.0,0.6666666666666666,0.0,0.0
2018-09-01 18:00:00,2018-to-2019,Guingamp,Toulouse,AwayWin,1,2,3,0.0,0.0,3.0,0.0,0.6666666666666666,2.6666666666666665,-2.0,0.5,0.38888888888888884,0.6666666666666666,2.6666666666666665,0.0,0.0,0.06451612903225806,0.4838709677419355,10.333333333333334,5.0,47.666666666666664,1.3986013986013985,5.666666666666667,0.11764705882352941,13.0,0.6666666666666666,0.3333333333333333,0.0,1,0.0,1.0,3.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3,2.0,0.0,1.0,2.0,1.0,1.6666666666666667,-0.6666666666666666,0.25,0.125,1.0,1.6666666666666667,2.0,0.3333333333333333,0.10344827586206896,0.4827586206896552,9.666666666666666,4.666666666666667,51.0,1.9607843137254901,1.6666666666666667,0.6,15.666666666666666,1.6666666666666667,0.0,0.4,1,0.0,0.0,4.0,0.3333333333333333,0.6666666666666666,0.0,0.0
2018-09-02 13:00:00,2018-to-2019,Saint-Étienne,Amiens SC,Draw,0,0,3,1.0,2.0,0.0,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,0.25,0.0,1.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.125,0.5416666666666666,8.0,4.333333333333333,46.666666666666664,2.142857142857143,3.6666666666666665,0.2727272727272727,11.666666666666666,1.6666666666666667,0.3333333333333333,0.3333333333333333,1,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3,1.0,0.0,2.0,1.0,1.6666666666666667,1.6666666666666667,0.0,0.125,0.16666666666666666,1.6666666666666667,1.6666666666666667,1.0,0.0,0.18518518518518517,0.5185185185185185,9.0,4.666666666666667,49.0,3.4013605442176873,3.6666666666666665,0.45454545454545453,16.666666666666668,1.3333333333333333,0.0,0.75,1,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0
2018-09-02 15:00:00,2018-to-2019,Rennes,Bordeaux,HomeWin,2,0,3,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0.6666666666666666,0.16666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.26666666666666666,0.6,5.0,3.0,49.333333333333336,2.7027027027027026,4.333333333333333,0.3076923076923077,12.0,0.6666666666666666,0.0,0.0,1,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,3,1.0,0.0,2.0,1.0,1.0,1.6666666666666667,-0.6666666666666666,0.0,0.16666666666666666,1.0,1.6666666666666667,1.0,0.0,0.08823529411764706,0.5588235294117647,11.333333333333334,6.333333333333333,42.333333333333336,2.3622047244094486,3.3333333333333335,0.3,9.333333333333334,1.0,0.3333333333333333,0.25,1,0.0,1.0,2.0,0.0,0.6666666666666666,0.0,0.0
2018-09-02 19:00:00,2018-to-2019,Monaco,Olympique Marseille,AwayWin,2,3,3,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,0.13793103448275862,0.5172413793103449,9.666666666666666,5.0,46.333333333333336,2.877697841726619,6.0,0.2222222222222222,13.333333333333334,1.0,0.0,0.3333333333333333,1,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,3,1.0,1.0,1.0,1.3333333333333333,2.3333333333333335,1.6666666666666667,0.6666666666666666,0.08333333333333333,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.1794871794871795,0.5641025641025641,13.0,7.333333333333333,61.666666666666664,3.783783783783784,6.666666666666667,0.35,11.333333333333334,1.0,0.0,0.3333333333333333,1,0.0,1.0,3.0,0.3333333333333333,1.0,0.0,0.0
2018-09-14 17:00:00,2018-to-2019,Nice,Rennes,HomeWin,2,1,4,1.0,1.0,2.0,1.0,0.5,1.5,-1.0,0.0,0.3333333333333333,0.5,1.5,1.0,0.25,0.043478260869565216,0.30434782608695654,11.5,3.5,58.0,0.8620689655172413,7.5,0.06666666666666667,12.25,1.75,0.0,0.2857142857142857,2,0.0,0.0,2.5,0.25,0.5,0.0,0.0,4,2.0,1.0,1.0,1.75,1.5,1.25,0.25,0.75,0.16666666666666666,1.5,1.25,1.75,0.5,0.2,0.6,7.5,4.5,48.5,3.0927835051546393,4.75,0.3157894736842105,12.0,0.5,0.0,0.0,2,0.0,1.5,2.5,0.5,1.0,0.0,0.0
2018-09-14 18:45:00,2018-to-2019,PSG,Saint-Étienne,HomeWin,4,0,4,4.0,0.0,0.0,3.0,3.25,1.0,2.25,0.375,0.6666666666666666,3.25,1.0,3.0,0.25,0.29545454545454547,0.6590909090909091,11.0,7.25,63.0,5.158730158730158,6.5,0.5,12.5,1.75,0.25,0.375,2,1.0,3.0,0.5,0.25,1.0,0.25,0.0,4,1.0,3.0,0.0,1.5,0.75,0.5,0.25,0.25,0.0,0.75,0.5,1.5,0.5,0.08333333333333333,0.5277777777777778,9.0,4.75,50.75,1.477832512315271,6.25,0.12,11.5,2.0,0.25,0.3333333333333333,2,0.0,0.5,0.5,0.5,0.5,0.0,0.0
