iter	Passed	Remaining
0	172	17090
1	304	14900
2	407	13172
3	505	12133
4	621	11808
5	674	10564
6	729	9697
7	787	9060
8	868	8780
9	938	8442
10	1035	8375
11	1083	7947
12	1126	7537
13	1176	7228
14	1214	6884
15	1269	6662
16	1310	6397
17	1366	6227
18	1389	5922
19	1404	5616
20	1449	5453
21	1499	5317
22	1552	5196
23	1601	5071
24	1677	5032
25	1758	5004
26	1791	4844
27	1815	4667
28	1849	4527
29	1939	4524
30	1998	4447
31	2040	4335
32	2100	4265
33	2149	4172
34	2190	4067
35	2233	3970
36	2290	3899
37	2311	3771
38	2358	3689
39	2397	3596
40	2432	3499
41	2483	3429
42	2532	3356
43	2550	3246
44	2561	3130
45	2572	3020
46	2585	2915
47	2624	2842
48	2665	2773
49	2712	2712
50	2739	2631
51	2748	2536
52	2758	2446
53	2768	2358
54	2778	2272
55	2790	2192
56	2805	2116
57	2814	2038
58	2825	1963
59	2836	1891
60	2849	1821
61	2870	1759
62	2895	1700
63	2925	1645
64	2945	1585
65	2976	1533
66	3002	1478
67	3031	1426
68	3082	1384
69	3160	1354
70	3216	1313
71	3280	1275
72	3356	1241
73	3425	1203
74	3559	1186
75	3640	1149
76	3696	1104
77	3749	1057
78	3787	1006
79	3810	952
80	3854	904
81	3920	860
82	3992	817
83	4048	771
84	4147	731
85	4182	680
86	4224	631
87	4294	585
88	4343	536
89	4373	485
90	4417	436
91	4459	387
92	4515	339
93	4577	292
94	4629	243
95	4679	194
96	4710	145
97	4722	96
98	4732	47
99	4743	0
