iter	Passed	Remaining
0	104	10328
1	151	7430
2	170	5506
3	210	5059
4	236	4500
5	280	4392
6	310	4124
7	354	4080
8	378	3823
9	432	3888
10	492	3986
11	547	4011
12	619	4144
13	675	4147
14	733	4156
15	791	4157
16	829	4052
17	871	3970
18	899	3836
19	910	3641
20	920	3464
21	930	3298
22	941	3151
23	972	3080
24	1019	3058
25	1074	3057
26	1083	2930
27	1092	2809
28	1099	2692
29	1108	2585
30	1117	2486
31	1127	2396
32	1143	2321
33	1151	2235
34	1159	2153
35	1167	2075
36	1176	2002
37	1184	1933
38	1194	1867
39	1206	1809
40	1223	1760
41	1244	1718
42	1272	1686
43	1299	1653
44	1323	1617
45	1354	1589
46	1386	1563
47	1424	1543
48	1472	1533
49	1535	1535
50	1581	1519
51	1623	1498
52	1662	1474
53	1758	1497
54	1931	1580
55	1991	1564
56	2053	1549
57	2113	1530
58	2206	1533
59	2268	1512
60	2306	1474
61	2342	1435
62	2394	1406
63	2429	1366
64	2475	1332
65	2527	1302
66	2562	1262
67	2594	1220
68	2632	1182
69	2706	1160
70	2780	1135
71	2847	1107
72	2873	1062
73	2898	1018
74	2937	979
75	2982	941
76	3030	905
77	3076	867
78	3131	832
79	3211	802
80	3266	766
81	3340	733
82	3390	694
83	3431	653
84	3472	612
85	3512	571
86	3550	530
87	3593	490
88	3632	448
89	3678	408
90	3720	367
91	3771	327
92	3813	287
93	3846	245
94	3917	206
95	3952	164
96	3980	123
97	4037	82
98	4086	41
99	4132	0
