iter	MultiClass
0	1.081471215
1	1.066487704
2	1.053740599
3	1.043192057
4	1.034944664
5	1.027472872
6	1.02164073
7	1.016560667
8	1.012451344
9	1.008651528
10	1.005003239
11	1.002022549
12	0.99927058
13	0.9970236412
14	0.995197459
15	0.9934944527
16	0.9919243595
17	0.9902266778
18	0.9889968005
19	0.9879172621
20	0.9866797154
21	0.9855759276
22	0.9849081357
23	0.9839028554
24	0.983050651
25	0.9820298233
26	0.981207685
27	0.9803652613
28	0.9794501741
29	0.9788820768
30	0.9783128079
31	0.9777758395
32	0.9771067185
33	0.9762513752
34	0.9756616523
35	0.9751985006
36	0.9747678526
37	0.9739628531
38	0.9733975521
39	0.9725963293
40	0.9722200628
41	0.9715338643
42	0.970918313
43	0.9702115202
44	0.9694849164
45	0.9690651219
46	0.9684521599
47	0.9679868681
48	0.9674294904
49	0.9669328019
50	0.9665028087
51	0.9660543881
52	0.9652506638
53	0.9647380011
54	0.9642438108
55	0.963858333
56	0.963579904
57	0.9629799623
58	0.9626227006
59	0.961748108
60	0.9612601223
61	0.960542596
62	0.9602582576
63	0.9596946817
64	0.9591415884
65	0.9583218649
66	0.9578207447
67	0.9574903541
68	0.9568901112
69	0.9565067958
70	0.9559202879
71	0.9555016614
72	0.9549905687
73	0.9545507775
74	0.9540685722
75	0.9533754869
76	0.9526591794
77	0.9521898121
78	0.9516570725
79	0.9512386294
80	0.9507666875
81	0.9502119787
82	0.9494506434
83	0.9486440527
84	0.9478379902
85	0.9472773043
86	0.9468257476
87	0.946585185
88	0.9459966075
89	0.9456706801
90	0.9452091709
91	0.9445091243
92	0.9440250699
93	0.9435689093
94	0.9430077918
95	0.9423599629
96	0.9418606129
97	0.9414326577
98	0.9410370869
99	0.9404279308
