iter	Passed	Remaining
0	139	13834
1	222	10883
2	362	11711
3	436	10470
4	526	10012
5	586	9192
6	650	8635
7	704	8105
8	753	7617
9	817	7359
10	892	7224
11	932	6838
12	987	6607
13	1082	6648
14	1202	6814
15	1255	6590
16	1295	6323
17	1344	6125
18	1416	6040
19	1504	6016
20	1578	5939
21	1681	5962
22	1770	5926
23	1834	5810
24	1880	5640
25	1945	5538
26	2024	5473
27	2092	5380
28	2149	5261
29	2203	5140
30	2252	5012
31	2297	4881
32	2374	4820
33	2415	4688
34	2454	4558
35	2491	4428
36	2523	4297
37	2578	4206
38	2630	4114
39	2671	4006
40	2730	3929
41	2773	3829
42	2833	3756
43	2953	3758
44	3008	3676
45	3058	3590
46	3127	3526
47	3195	3461
48	3268	3402
49	3339	3339
50	3411	3277
51	3483	3215
52	3541	3140
53	3596	3063
54	3658	2993
55	3715	2919
56	3770	2844
57	3836	2778
58	3897	2708
59	3959	2639
60	4010	2564
61	4043	2478
62	4084	2398
63	4132	2324
64	4178	2249
65	4237	2183
66	4289	2112
67	4358	2050
68	4442	1995
69	4490	1924
70	4547	1857
71	4587	1783
72	4643	1717
73	4682	1645
74	4758	1586
75	4811	1519
76	4859	1451
77	4907	1384
78	4965	1320
79	5011	1252
80	5097	1195
81	5265	1155
82	5301	1085
83	5337	1016
84	5383	950
85	5436	884
86	5485	819
87	5532	754
88	5618	694
89	5681	631
90	5751	568
91	5812	505
92	5869	441
93	5925	378
94	5973	314
95	6023	250
96	6073	187
97	6118	124
98	6168	62
99	6226	0
