iter	MultiClass
0	1.080129997
1	1.066253697
2	1.054775838
3	1.044137872
4	1.035224214
5	1.027916093
6	1.021934705
7	1.016984554
8	1.012251303
9	1.008415015
10	1.005041648
11	1.0018587
12	0.998963693
13	0.9962558883
14	0.9940733225
15	0.9919928837
16	0.9904987753
17	0.9892023882
18	0.9877084554
19	0.9865260563
20	0.9855488112
21	0.9846731197
22	0.9835686849
23	0.9825966934
24	0.981873719
25	0.9811697908
26	0.980231939
27	0.9795936813
28	0.9789671789
29	0.9782411613
30	0.9772631307
31	0.9764317493
32	0.9757076585
33	0.9752552383
34	0.9747403557
35	0.9741405463
36	0.9736238462
37	0.9727798536
38	0.9722478577
39	0.9717435854
40	0.9710091676
41	0.9703277406
42	0.9696448792
43	0.9691902048
44	0.9685615664
45	0.9680721595
46	0.9674820969
47	0.9668690147
48	0.966279932
49	0.9656942184
50	0.9653155487
51	0.9649272594
52	0.9642552426
53	0.963727406
54	0.963384621
55	0.9626216365
56	0.9621701918
57	0.961441141
58	0.9610150241
59	0.9605036296
60	0.9597887746
61	0.9593703166
62	0.9589891638
63	0.9583610729
64	0.958085567
65	0.9574705827
66	0.9568221577
67	0.956210061
68	0.9554686433
69	0.9549944819
70	0.9544086281
71	0.9540693013
72	0.9534467568
73	0.9530789363
74	0.9523539305
75	0.9520574223
76	0.9517125863
77	0.9511851253
78	0.9505638262
79	0.9501449924
80	0.9495196472
81	0.9491288382
82	0.9481580079
83	0.9476025192
84	0.9468794328
85	0.9462205634
86	0.9456669162
87	0.944899938
88	0.9443178513
89	0.9435921572
90	0.9429438244
91	0.9422369514
92	0.9415191212
93	0.9411757333
94	0.9405254028
95	0.9401056171
96	0.9395464731
97	0.9391853754
98	0.9387999616
99	0.938057105
