iter	Passed	Remaining
0	58	11578
1	65	6488
2	73	4827
3	81	3977
4	87	3421
5	94	3070
6	102	2821
7	109	2630
8	116	2482
9	123	2352
10	131	2262
11	139	2183
12	147	2126
13	154	2048
14	160	1983
15	167	1924
16	175	1886
17	182	1841
18	189	1808
19	197	1773
20	204	1740
21	211	1708
22	219	1685
23	226	1660
24	233	1631
25	240	1610
26	248	1589
27	255	1566
28	263	1551
29	270	1531
30	277	1511
31	284	1494
32	292	1481
33	299	1462
34	307	1451
35	316	1441
36	323	1426
37	331	1413
38	338	1398
39	347	1388
40	354	1376
41	362	1365
42	370	1353
43	378	1342
44	386	1331
45	395	1323
46	403	1313
47	411	1302
48	418	1290
49	426	1279
50	434	1269
51	444	1264
52	452	1254
53	460	1244
54	468	1234
55	477	1227
56	484	1216
57	492	1204
58	500	1196
59	508	1186
60	515	1174
61	523	1164
62	530	1153
63	537	1142
64	544	1131
65	551	1120
66	560	1112
67	567	1101
68	574	1091
69	582	1082
70	589	1071
71	597	1061
72	605	1052
73	612	1043
74	620	1034
75	628	1025
76	637	1018
77	644	1007
78	650	996
79	657	986
80	665	977
81	673	968
82	680	959
83	688	950
84	695	941
85	702	931
86	709	921
87	716	912
88	724	904
89	733	895
90	740	887
91	747	878
92	755	869
93	763	860
94	771	852
95	779	844
96	786	835
97	793	826
98	802	818
99	809	809
100	816	800
101	823	791
102	831	782
103	839	774
104	846	766
105	854	757
106	861	748
107	868	739
108	875	730
109	882	722
110	890	713
111	897	704
112	904	696
113	911	687
114	919	679
115	927	671
116	934	662
117	941	654
118	948	645
119	956	637
120	963	628
121	970	620
122	978	612
123	985	603
124	992	595
125	999	587
126	1006	578
127	1013	570
128	1020	561
129	1027	553
130	1035	545
131	1041	536
132	1049	528
133	1055	520
134	1062	511
135	1070	503
136	1077	495
137	1084	487
138	1093	479
139	1100	471
140	1107	463
141	1115	455
142	1123	447
143	1130	439
144	1138	431
145	1146	423
146	1153	415
147	1160	407
148	1167	399
149	1175	391
150	1183	384
151	1190	375
152	1198	368
153	1205	360
154	1212	351
155	1219	344
156	1227	336
157	1235	328
158	1242	320
159	1250	312
160	1257	304
161	1265	296
162	1272	288
163	1279	280
164	1286	272
165	1293	264
166	1299	256
167	1306	248
168	1314	241
169	1321	233
170	1328	225
171	1335	217
172	1343	209
173	1351	202
174	1359	194
175	1365	186
176	1372	178
177	1379	170
178	1386	162
179	1393	154
180	1400	146
181	1407	139
182	1414	131
183	1421	123
184	1430	115
185	1437	108
186	1444	100
187	1451	92
188	1457	84
189	1464	77
190	1471	69
191	1478	61
192	1485	53
193	1492	46
194	1499	38
195	1505	30
196	1512	23
197	1519	15
198	1526	7
199	1532	0
