iter	Passed	Remaining
0	109	10875
1	175	8604
2	208	6728
3	223	5365
4	237	4519
5	252	3962
6	269	3584
7	315	3628
8	362	3668
9	401	3614
10	455	3688
11	486	3568
12	500	3348
13	514	3158
14	529	3001
15	587	3085
16	648	3164
17	683	3115
18	698	2978
19	713	2853
20	735	2767
21	754	2676
22	790	2646
23	834	2642
24	884	2654
25	971	2764
26	1067	2886
27	1132	2913
28	1215	2976
29	1320	3080
30	1393	3100
31	1516	3222
32	1570	3187
33	1634	3172
34	1701	3159
35	1750	3111
36	1806	3075
37	1900	3100
38	1962	3070
39	2059	3088
40	2222	3198
41	2280	3149
42	2374	3147
43	2439	3104
44	2501	3056
45	2550	2994
46	2701	3046
47	2790	3023
48	2907	3026
49	2992	2992
50	3078	2957
51	3153	2911
52	3245	2878
53	3329	2836
54	3410	2790
55	3478	2732
56	3555	2682
57	3629	2628
58	3708	2577
59	3787	2525
60	3872	2475
61	3939	2414
62	4016	2359
63	4105	2309
64	4214	2269
65	4284	2207
66	4357	2146
67	4434	2086
68	4534	2037
69	4618	1979
70	4698	1919
71	4794	1864
72	4871	1801
73	4929	1731
74	5001	1667
75	5044	1592
76	5140	1535
77	5190	1463
78	5262	1398
79	5310	1327
80	5361	1257
81	5509	1209
82	5570	1140
83	5610	1068
84	5652	997
85	5706	928
86	5770	862
87	5818	793
88	5864	724
89	5912	656
90	5969	590
91	6012	522
92	6069	456
93	6119	390
94	6155	323
95	6197	258
96	6246	193
97	6335	129
98	6538	66
99	6719	0
