date,season,league,home_team,away_team,target_result,target_home_goals,target_away_goals,home_elo,away_elo,elo_diff,implied_prob_home,implied_prob_draw,implied_prob_away,odds_ratio,home_games_played,home_wins,home_draws,home_losses,home_points_per_game,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_goals_scored_first_half_ratio,home_goals_conceded_first_half_ratio,home_avg_xg_scored,home_avg_xg_conceded,home_xg_vs_goals_diff,home_shot_conversion_rate,home_shots_on_target_ratio,home_avg_shots_per_game,home_avg_shots_on_target,home_avg_possession,home_possession_efficiency,home_avg_corners_for,home_corner_efficiency,home_avg_fouls_committed,home_avg_yellows,home_avg_reds,home_cards_first_half_ratio,home_venue_games,home_venue_win_ratio,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_comeback_ratio,home_lead_loss_ratio,home_form_trend,home_recent_ppg_last3,home_recent_goals_scored_last3,home_recent_goals_conceded_last3,home_recent_clean_sheets_last3,home_draw_ratio_last3,home_recent_ppg_last5,home_recent_goals_scored_last5,home_recent_goals_conceded_last5,home_recent_clean_sheets_last5,home_draw_ratio_last5,home_recent_ppg_last10,home_recent_goals_scored_last10,home_recent_goals_conceded_last10,home_recent_clean_sheets_last10,home_draw_ratio_last10,away_games_played,away_wins,away_draws,away_losses,away_points_per_game,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_goals_scored_first_half_ratio,away_goals_conceded_first_half_ratio,away_avg_xg_scored,away_avg_xg_conceded,away_xg_vs_goals_diff,away_shot_conversion_rate,away_shots_on_target_ratio,away_avg_shots_per_game,away_avg_shots_on_target,away_avg_possession,away_possession_efficiency,away_avg_corners_for,away_corner_efficiency,away_avg_fouls_committed,away_avg_yellows,away_avg_reds,away_cards_first_half_ratio,away_venue_games,away_venue_win_ratio,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_comeback_ratio,away_lead_loss_ratio,away_form_trend,away_recent_ppg_last3,away_recent_goals_scored_last3,away_recent_goals_conceded_last3,away_recent_clean_sheets_last3,away_draw_ratio_last3,away_recent_ppg_last5,away_recent_goals_scored_last5,away_recent_goals_conceded_last5,away_recent_clean_sheets_last5,away_draw_ratio_last5,away_recent_ppg_last10,away_recent_goals_scored_last10,away_recent_goals_conceded_last10,away_recent_clean_sheets_last10,away_draw_ratio_last10,diff_ppg,diff_recent_ppg,diff_goals_scored,diff_goals_conceded,diff_xg_scored,diff_shots,diff_possession,diff_form_trend,combined_draw_tendency,match_competitiveness,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_avg,h2h_away_goals_avg,h2h_matches_count
2013-05-30 00:00:00,2013-to-2014,Brazil,Bahia,Coritiba,Draw,0,0,1492.8012999960577,1507.1987000039423,-14.397400007884698,0.3518239349560729,0.2898609135757495,0.3583151514681775,0.9818840579710145,1,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.14285714285714285,0.7142857142857143,7.0,5.0,53.0,1.8867924528301887,2.0,0.5,24.0,3.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.2,0.4,10.0,4.0,58.0,3.4482758620689653,7.0,0.2857142857142857,16.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-3.0,-3.0,-1.0,2.0,0.0,-3.0,-5.0,0.0,0.0,3.0,0,0,0,0.0,0.0,0
2013-05-30 22:30:00,2013-to-2014,Brazil,Internacional,Criciúma,HomeWin,2,0,1502.8012999960577,1507.1987000039423,-4.397400007884698,0.6305705875132702,0.2284891070048085,0.14094030548192107,4.474025974025974,1,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5,1.0,0.0,0.0,2.0,0.1111111111111111,0.3888888888888889,18.0,7.0,62.0,3.225806451612903,4.0,0.5,10.0,2.0,0.0,0.5,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.1875,0.5625,16.0,9.0,47.0,6.382978723404255,6.0,0.5,25.0,4.0,0.0,0.25,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,-2.0,-2.0,-1.0,1.0,0.0,2.0,15.0,0.0,0.5,2.0,0,0,0,0.0,0.0,0
2013-06-01 19:20:00,2013-to-2014,Brazil,Botafogo,Cruzeiro,HomeWin,2,1,1509.8520794225028,1509.6138665412898,0.23821288121303041,0.4669291615398137,0.2712884513974336,0.2617823870627527,1.783653846153846,2,1.0,1.0,0.0,2.0,1.5,1.0,0.5,1.0,0.0,0.0,0.0,1.5,0.1875,0.5,8.0,4.0,40.0,3.75,2.5,0.6,20.5,1.0,0.0,0.0,1,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.5,2.0,1.5,1.0,0.0,0.5,2.0,1.5,1.0,0.0,0.5,2,1.0,1.0,0.0,2.0,3.5,1.0,2.5,0.65,1.0,0.0,0.0,3.5,0.2692307692307692,0.5769230769230769,13.0,7.5,48.0,7.291666666666667,6.5,0.5384615384615384,13.5,1.0,0.0,0.0,1,0.0,2.0,2.0,0.5,1.0,0.0,0.0,0.0,2.0,3.5,1.0,0.5,0.5,2.0,3.5,1.0,0.5,0.5,2.0,3.5,1.0,0.5,0.5,0.0,0.0,-2.0,0.0,0.0,-5.0,-8.0,0.0,0.5,0.0,0,0,0,0.0,0.0,0
2013-06-01 21:30:00,2013-to-2014,Brazil,Goiás,Coritiba,Draw,1,1,1490.1170439834336,1509.6138665412898,-19.49682255785615,0.4043015078428321,0.27963216680772246,0.3160663253494453,1.2791666666666666,2,0.0,1.0,1.0,0.5,0.5,3.0,-2.5,1.0,0.4,0.0,0.0,0.5,0.07142857142857142,0.21428571428571427,7.0,1.5,43.5,1.1494252873563218,5.0,0.1,16.5,3.0,0.0,0.3333333333333333,1,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,3.0,0.0,0.5,0.5,0.5,3.0,0.0,0.5,0.5,0.5,3.0,0.0,0.5,2,1.0,1.0,0.0,2.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.3684210526315789,9.5,3.5,57.5,1.7391304347826086,5.0,0.2,14.5,1.0,0.0,0.5,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,0.5,0.5,0.5,-1.5,-1.5,-0.5,2.5,0.0,-2.5,-14.0,0.0,0.5,1.5,0,0,0,0.0,0.0,0
2013-06-01 21:30:00,2013-to-2014,Brazil,Vitória,Vasco da Gama,HomeWin,2,0,1509.8829560165664,1500.1479205774972,9.73503543906918,0.4644859780145419,0.28138425914504134,0.2541297628404169,1.8277511961722488,2,1.0,1.0,0.0,2.0,2.5,1.0,1.5,0.8333333333333333,0.5,0.0,0.0,2.5,0.38461538461538464,0.3076923076923077,6.5,2.0,43.5,5.747126436781609,5.5,0.45454545454545453,22.0,3.5,0.0,0.7142857142857143,1,0.0,2.0,2.0,0.5,1.0,0.0,0.0,0.0,2.0,2.5,1.0,0.5,0.5,2.0,2.5,1.0,0.5,0.5,2.0,2.5,1.0,0.5,0.5,2,1.0,0.0,1.0,1.5,1.0,2.5,-1.5,0.0,0.0,0.0,0.0,1.0,0.10526315789473684,0.21052631578947367,9.5,2.0,46.5,2.1505376344086025,4.0,0.25,10.5,1.5,0.0,0.6666666666666666,1,0.0,1.0,5.0,0.5,1.0,0.0,0.0,0.0,1.5,1.0,2.5,0.5,0.0,1.5,1.0,2.5,0.5,0.0,1.5,1.0,2.5,0.5,0.0,0.5,0.5,1.5,-1.5,0.0,-3.0,-3.0,0.0,0.25,0.5,0,0,0,0.0,0.0,0
2013-06-02 00:00:00,2013-to-2014,Brazil,Corinthians,Ponte Preta,HomeWin,1,0,1499.8829560165664,1500.40842589807,-0.5254698815035681,0.6260307201848511,0.23495099667954458,0.13901828313560446,4.503225806451613,2,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.4444444444444444,9.0,4.0,58.0,1.7241379310344827,4.0,0.25,17.0,2.0,0.0,0.5,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2,1.0,0.0,1.0,1.5,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.08333333333333333,0.3333333333333333,12.0,4.0,44.5,2.247191011235955,5.0,0.2,15.5,1.5,0.0,0.3333333333333333,1,1.0,2.0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,1.0,1.0,0.5,0.0,1.5,1.0,1.0,0.5,0.0,1.5,1.0,1.0,0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,-3.0,13.5,0.0,0.5,0.5,0,0,0,0.0,0.0,0
2013-06-02 21:30:00,2013-to-2014,Brazil,Fluminense,Criciúma,HomeWin,3,0,1507.1987000039423,1499.8829560165664,7.315743987375981,0.6072268731487566,0.23581626141699286,0.1569568654342505,3.86875,1,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.5,1.0,0.0,0.0,2.0,0.2222222222222222,0.5555555555555556,9.0,5.0,43.0,4.651162790697675,2.0,1.0,11.0,2.0,0.0,0.0,1,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,2,1.0,0.0,1.0,1.5,1.5,1.5,0.0,0.3333333333333333,0.5,0.0,0.0,1.5,0.125,0.4583333333333333,12.0,5.5,46.0,3.260869565217391,4.0,0.375,15.5,2.0,0.0,0.25,1,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,1.5,1.5,0.5,-0.5,0.0,-3.0,-3.0,0.0,0.0,1.5,0,0,0,0.0,0.0,0
2013-06-02 21:30:00,2013-to-2014,Brazil,Internacional,Bahia,AwayWin,1,2,1510.1170439834336,1490.3861334587102,19.730910524723413,0.6702563086485203,0.20990748327005493,0.11983620808142471,5.593103448275862,2,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.75,1.0,0.0,0.0,2.0,0.11428571428571428,0.37142857142857144,17.5,6.5,58.5,3.418803418803419,4.5,0.4444444444444444,10.0,1.5,0.0,0.3333333333333333,1,1.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.5,2,0.0,1.0,1.0,0.5,0.5,1.5,-1.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.05263157894736842,0.5263157894736842,9.5,5.0,48.0,1.0416666666666665,3.0,0.16666666666666666,18.0,2.5,0.0,0.4,1,0.0,1.0,3.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,1.5,1.5,1.5,-0.5,0.0,8.0,10.5,0.0,0.5,1.5,0,0,0,0.0,0.0,0
2013-06-02 21:30:00,2013-to-2014,Brazil,Atlético Mineiro,São Paulo,Draw,0,0,1492.8012999960577,1519.8520794225028,-27.05077942644516,0.423845608272052,0.28380305349210494,0.2923513382358431,1.4497816593886461,1,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.6666666666666666,6.0,4.0,42.0,2.380952380952381,4.0,0.25,19.0,3.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2,2.0,0.0,0.0,3.0,3.5,0.5,3.0,0.5,0.0,0.0,0.0,3.5,0.3333333333333333,0.5714285714285714,10.5,6.0,55.5,6.306306306306306,9.5,0.3684210526315789,21.5,3.0,0.5,0.42857142857142855,1,1.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,3.0,3.5,0.5,0.5,0.0,3.0,3.5,0.5,0.5,0.0,3.0,3.5,0.5,0.5,0.0,-3.0,-3.0,-2.5,1.5,0.0,-4.5,-13.5,0.0,0.0,3.0,0,0,0,0.0,0.0,0
2013-06-05 22:30:00,2013-to-2014,Brazil,São Paulo,Goiás,AwayWin,0,1,1521.9214068712072,1487.8405709867443,34.080835884462886,0.6800248994767745,0.20690119281952923,0.11307390770369621,6.013986013986014,3,2.0,1.0,0.0,2.3333333333333335,2.3333333333333335,0.3333333333333333,2.0,0.5,0.0,0.0,0.0,2.3333333333333335,0.25,0.5,9.333333333333334,4.666666666666667,53.666666666666664,4.3478260869565215,8.333333333333334,0.28,20.0,2.6666666666666665,0.6666666666666666,0.4,1,1.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,0.0,2.0,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,-1.6666666666666667,0.5,0.6,0.0,0.0,0.6666666666666666,0.06060606060606061,0.3939393939393939,11.0,4.333333333333333,46.0,1.4492753623188406,5.0,0.13333333333333333,15.0,2.0,0.0,0.3333333333333333,1,0.0,0.0,5.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.3333333333333335,0.0,0.6666666666666666,1.666666666666667,1.666666666666667,1.666666666666667,-2.0,0.0,-1.666666666666666,7.666666666666664,0.0,0.5,1.666666666666667,0,0,0,0.0,0.0,0
