timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,MSV Duisburg,Wolfsburg,Günter Perl,2,0.00,0.00,0.71,1.59,1,3,4,1,0,1,"88","41,52,72",-1,-1,2,0,2,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Schauinsland-Reisen-Arena (Duisburg)
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,Hansa Rostock,Nürnberg,Michael Kempter,2,0.00,0.00,1.12,0.53,1,2,3,2,0,2,"63","16,25",-1,-1,2,0,2,0,0,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ostseestadion (Rostock)
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,Arminia Bielefeld,Eintracht Frankfurt,N/A,2,0.00,0.00,1.47,1.06,2,2,4,0,0,0,"68,80","87,89",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SchücoArena (Bielefeld)
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,Hertha BSC,Stuttgart,Thorsten Kinhöfer,2,0.00,0.00,1.76,0.82,3,1,4,1,0,1,"51,65,80","15",-1,-1,1,0,2,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olympiastadion Berlin (Berlin)
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,Werder Bremen,Bayern München,Markus Merk,2,0.00,0.00,2.29,2.06,0,4,4,1,0,1,"","31,51,79,87",-1,-1,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,wohninvest WESERSTADION (Bremen)
1187443800,Aug 18 2007 - 1:30pm,complete,N/A,Schalke 04,Borussia Dortmund,Knut Kircher,2,0.00,0.00,2.00,0.82,4,1,5,2,2,0,"11,31,59,78","66",-1,-1,2,0,4,1,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena (Gelsenkirchen)
1187535600,Aug 19 2007 - 3:00pm,complete,N/A,Energie Cottbus,Bochum,N/A,2,0.00,0.00,1.53,1.00,1,2,3,2,0,2,"49","14,42",-1,-1,2,0,2,0,1,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion der Freundschaft (Cottbus)
1187535600,Aug 19 2007 - 3:00pm,complete,N/A,Hamburger SV,Bayer Leverkusen,N/A,2,0.00,0.00,1.88,1.18,1,0,1,0,0,0,"64","",-1,-1,1,0,1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Volksparkstadion (Hamburg)
1187980200,Aug 24 2007 - 6:30pm,complete,N/A,Bochum,Hamburger SV,Michael Weiner,3,1.00,3.00,1.41,1.29,2,1,3,1,1,0,"45,83","86",-1,-1,5,0,3,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,50,50,50,50,0,50,100,50,50,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Vonovia Ruhrstadion (Bochum)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Arminia Bielefeld,Hertha BSC,Wolfgang Stark,3,1.00,0.00,1.47,0.82,2,0,2,0,0,0,"52,90'1","",-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.50,50,50,50,50,0,0,50,50,50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SchücoArena (Bielefeld)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Borussia Dortmund,Energie Cottbus,N/A,3,0.00,1.00,1.53,0.59,3,0,3,1,1,0,"44,70,84","",-1,-1,0,0,3,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,50,0,0,50,50,50,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Signal-Iduna-Park (Dortmund)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Nürnberg,Werder Bremen,Florian Meyer,3,0.00,1.00,1.29,1.59,0,1,1,0,0,0,"","69",-1,-1,2,0,4,0,2,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,50,100,50,50,0,50,100,50,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Max-Morlock-Stadion (Nürnberg)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Bayer Leverkusen,Karlsruher SC,Peter Sippel,3,1.00,3.00,1.82,1.12,3,0,3,3,3,0,"19,27,35","",-1,-1,1,0,2,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,50,0,0,0,0,50,0,50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BayArena (Leverkusen)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Bayern München,Hannover 96,Thorsten Kinhöfer,3,3.00,3.00,2.41,1.18,3,0,3,1,1,0,"28,69,86","",-1,-1,2,0,6,1,1,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,50,100,100,0,0,0,100,100,100,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Allianz Arena (München)
1188048600,Aug 25 2007 - 1:30pm,complete,N/A,Stuttgart,MSV Duisburg,Manuel Gräfe,3,1.00,3.00,2.24,1.00,1,0,1,1,1,0,"34","",-1,-1,4,0,5,1,0,4,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,100,100,100,100,0,0,100,100,100,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Mercedes-Benz-Arena (Stuttgart)
1188140400,Aug 26 2007 - 3:00pm,complete,N/A,Eintracht Frankfurt,Hansa Rostock,Markus Merk,3,3.00,0.00,1.65,0.65,1,0,1,1,1,0,"3","",-1,-1,0,0,2,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,0,50,50,0,0,0,100,50,50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Deutsche Bank Park (Frankfurt am Main)
1188140400,Aug 26 2007 - 3:00pm,complete,N/A,Wolfsburg,Schalke 04,Felix Brych,3,0.00,1.00,1.59,1.76,1,1,2,1,1,0,"36","86",-1,-1,1,1,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,100,100,100,100,0,0,100,100,100,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VOLKSWAGEN ARENA (Wolfsburg)
1188585000,Aug 31 2007 - 6:30pm,complete,N/A,Schalke 04,Bayer Leverkusen,Wolfgang Stark,4,3.00,0.00,2.00,1.18,1,1,2,1,1,0,"45'1","53",-1,-1,0,0,3,0,0,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,50,50,50,50,50,50,50,50,100,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VELTINS-Arena (Gelsenkirchen)
1188653400,Sep 01 2007 - 1:30pm,complete,N/A,MSV Duisburg,Arminia Bielefeld,Peter Gagelmann,4,0.00,3.00,0.71,0.53,3,0,3,0,0,0,"64,68,70","",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,100,100,100,100,0,0,100,100,100,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Schauinsland-Reisen-Arena (Duisburg)
1188653400,Sep 01 2007 - 1:30pm,complete,N/A,Hansa Rostock,Borussia Dortmund,Günter Perl,4,0.00,0.00,1.12,0.82,0,1,1,0,0,0,"","76",-1,-1,1,0,1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,4.00,100,100,100,50,50,100,100,50,100,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ostseestadion (Rostock)
1188653400,Sep 01 2007 - 1:30pm,complete,N/A,Energie Cottbus,Nürnberg,Knut Kircher,4,0.00,3.00,1.53,0.53,1,1,2,1,1,0,"15","85",-1,-1,3,0,2,1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,100,100,100,0,0,100,100,0,100,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadion der Freundschaft (Cottbus)
1188653400,Sep 01 2007 - 1:30pm,complete,N/A,Hannover 96,Bochum,Michael Kempter,4,0.00,3.00,1.71,1.00,3,2,5,3,2,1,"12,36,71","44,66",-1,-1,3,0,1,0,0,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,2.00,50,50,50,0,0,50,100,0,50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HDI-Arena (Hannover)
