iter	Passed	Remaining
0	11	1091
1	20	993
2	28	937
3	37	899
4	46	887
5	75	1188
6	119	1587
7	163	1881
8	180	1826
9	193	1745
10	203	1647
11	211	1552
12	220	1474
13	230	1417
14	240	1361
15	250	1313
16	266	1299
17	282	1288
18	307	1308
19	329	1317
20	362	1364
21	399	1414
22	427	1430
23	460	1458
24	496	1488
25	513	1462
26	529	1432
27	551	1418
28	582	1424
29	626	1460
30	667	1485
31	699	1486
32	729	1481
33	747	1451
34	763	1418
35	809	1439
36	848	1445
37	880	1436
38	918	1436
39	965	1448
40	1009	1452
41	1030	1422
42	1043	1382
43	1098	1397
44	1140	1393
45	1170	1374
46	1193	1345
47	1201	1301
48	1209	1258
49	1217	1217
50	1234	1185
51	1247	1151
52	1257	1114
53	1272	1083
54	1294	1059
55	1310	1029
56	1328	1001
57	1347	975
58	1368	950
59	1394	929
60	1441	921
61	1460	895
62	1484	872
63	1507	847
64	1531	824
65	1547	797
66	1571	773
67	1621	762
68	1650	741
69	1674	717
70	1704	696
71	1730	672
72	1751	647
73	1790	629
74	1820	606
75	1858	586
76	1885	563
77	1906	537
78	1931	513
79	1963	490
80	1985	465
81	2035	446
82	2070	423
83	2105	400
84	2137	377
85	2148	349
86	2156	322
87	2165	295
88	2175	268
89	2186	242
90	2194	217
91	2204	191
92	2218	166
93	2226	142
94	2236	117
95	2248	93
96	2263	70
97	2278	46
98	2288	23
99	2299	0
