iter	Passed	Remaining
0	130	12908
1	194	9546
2	316	10243
3	400	9613
4	482	9159
5	580	9101
6	707	9404
7	814	9370
8	934	9449
9	1052	9471
10	1185	9592
11	1330	9754
12	1475	9874
13	1572	9659
14	1695	9610
15	1803	9469
16	1880	9180
17	1963	8943
18	2036	8683
19	2105	8421
20	2187	8229
21	2249	7977
22	2306	7722
23	2376	7525
24	2428	7286
25	2499	7114
26	2550	6895
27	2597	6679
28	2662	6518
29	2713	6331
30	2761	6146
31	2814	5981
32	2856	5799
33	2912	5653
34	2958	5493
35	3008	5348
36	3066	5220
37	3125	5100
38	3191	4992
39	3249	4873
40	3309	4762
41	3368	4652
42	3470	4600
43	3558	4528
44	3620	4424
45	3705	4349
46	3795	4279
47	3862	4184
48	3965	4127
49	4059	4059
50	4116	3955
51	4214	3890
52	4316	3827
53	4373	3725
54	4427	3622
55	4515	3547
56	4584	3458
57	4688	3395
58	4729	3286
59	4786	3190
60	4839	3094
61	4889	2996
62	4965	2916
63	5028	2828
64	5081	2736
65	5140	2648
66	5210	2566
67	5272	2481
68	5342	2400
69	5419	2322
70	5528	2258
71	5674	2206
72	5934	2194
73	6000	2108
74	6057	2019
75	6115	1931
76	6182	1846
77	6268	1767
78	6351	1688
79	6432	1608
80	6511	1527
81	6576	1443
82	6674	1367
83	6744	1284
84	6841	1207
85	6932	1128
86	7012	1047
87	7085	966
88	7260	897
89	7329	814
90	7393	731
91	7485	650
92	7596	571
93	7754	494
94	7839	412
95	7916	329
96	8011	247
97	8089	165
98	8169	82
99	8269	0
