,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32
home_games_played,0.018355143797168988,-0.011489885432696178,0.4922737353187919,0.0650565992344532,0.0036051572404836468,0.021633047620157636,0.003402816266517365,0.03682967265630374,-0.029295133391173955,-0.008549551055838767,-0.022780929482196927,-0.004431587134060551,0.001631671670610099,0.00010324028819358017,0.010858563873254113,8.927356128922678e-05,-0.006983636666223077,0.0008511436982640524,-0.0006836995017772561,-0.004191826612031683,0.003469495051056011,0.011960351411211606,0.0005988963173705754,0.00012971031797622882,0.006456598551915205,0.1690817207637014,-0.49587634550794685,0.689042181320042,-0.0,-0.0,-0.0,-0.0
home_avg_goals_scored,0.2366300683284543,-0.22933110222894704,-0.013945565189070863,-0.1461407655333536,-0.19034980304191515,-0.0047037603378102845,-0.18321509064172126,0.13328988575301168,-0.06894993243577298,0.009124127531567454,0.038188173622273086,-0.0731386687698678,-0.10553968175324037,-0.008832232437157046,0.02787706263715166,-0.002768590794139206,0.0534728851280245,-0.036722651619689246,-0.017899653236082447,-0.17072631712659067,-0.01632240018941074,0.28023423711701245,0.6331879687355718,0.008370140821079846,0.01878820514288723,0.0004682375264592892,0.0015894055478871683,0.0013935619575894398,-0.02940201619838481,0.25746999062371945,-0.40746856951172994,0.10776021783677925
home_avg_goals_conceded,-0.19983403776436182,0.18468623386792501,0.035440752809016283,-0.27843264287473163,-0.2880968882531618,-0.07126283142980447,-0.09061293361090139,0.06026931745835034,-0.07242741502361466,-0.04800239264690275,-0.11093647273311194,-0.010730139987155702,0.06103702776159141,0.09253556974207512,-0.04079166544281511,-0.07406481803824462,-0.07687974670712297,0.07355828929271163,0.08442980922132995,0.43976799519759163,0.40371380955598923,0.15698084216953911,0.3636836578617361,0.005127645208021618,-0.0002589037678982656,0.004792481970842528,0.001795161641716122,0.00035725327407485225,0.024934192203677177,-0.21834578246520206,0.34555112005281563,-0.09138536504853802
home_avg_goal_diff,0.2640219723448197,-0.2509248563087406,-0.028606875528653337,0.05850137408248289,0.03508754089450355,0.03623264146547671,-0.0691566461314813,0.05342805490548218,-0.00489449114172539,0.03239810938530813,0.0859926110071851,-0.041634561491756324,-0.10226869282119613,-0.05676170175769696,0.040614572401494665,0.03903565444609355,0.07715269052754653,-0.06443135104893515,-0.05818771482840424,-0.3534626637228066,-0.23319949951794738,0.09564106068461817,0.21114601305374658,0.002614664885626665,0.012357774442781733,-0.002337913267847446,4.35792250025714e-05,0.0007090435464373522,0.04522389292993473,-0.3960203004472011,0.6267364399630354,-0.16574837999798234
home_recent_avg_goals,0.21020094515598847,-0.2028539649660338,-0.017734150621353816,-0.13377762775410865,-0.16916414990966558,0.016163060157738388,-0.24071057103191665,0.22603628963391148,0.05756166416406414,-0.10792289762885605,-0.1710812303755391,-0.043013916050315536,0.1458503024460209,0.2304907348996572,0.020568531925770933,-0.3150564620259427,-0.3757809902600187,0.28548264925705824,0.025725868875394253,-0.055792911693465966,-0.09676737595240963,-0.13364537798619375,-0.22221737304265274,-0.0020445270606969965,0.0010016812144862605,-1.5339751881864837e-05,0.0007592165377817849,-0.0006186567430532097,0.19926061955356061,-0.357891605842667,-0.25442097285115595,-0.052556848999572046
home_recent_avg_conceded,-0.17775119537299808,0.1574151703368139,0.03983982487630175,-0.2707784602054531,-0.2883837641942436,-0.06707764460013639,-0.051959616568610645,-0.0070698211870280836,-0.3572166137220278,0.1441983501381451,0.1640383613806222,-0.16831960835760745,-0.2974757663633971,0.02311332824831063,0.06321016996847531,-0.19141361786682118,-0.2349833102504914,0.21078391035296196,-0.01364796030992352,-0.23296547575308652,-0.22195858624334439,-0.08773015256247975,-0.16020660912361925,0.0005923617433223774,0.002210178362780425,-0.0018709079249956734,0.0007536362866484185,-0.0009278756258485001,-0.18746867317765914,0.33671211421036784,0.23936471900888817,0.04944661303585039
home_recent_avg_goal_diff,0.24542569399528588,-0.22820737899054835,-0.03590438296025131,0.07866495728498964,0.06642526215165089,0.051546028870257686,-0.12473466933023408,0.15130508956620903,0.2559634049511509,-0.15839285838506406,-0.21159903412406844,0.07500289618182834,0.2768254684457508,0.1357364831386824,-0.02529532782192889,-0.08776445170247936,-0.10059597241741829,0.056683953969944564,0.025077630007038696,0.10624168122018565,0.07286438360683685,-0.033232280645850994,-0.0464873491058953,-0.001691841185754402,-0.0007007752897752782,0.0011345883251161796,3.2629081891320014e-05,0.0001653640422104248,-0.3064371545233975,0.55039116895226,0.39126666948170186,0.08082566085676438
home_avg_shots,0.184520359565248,-0.14810268603691645,0.028509010391878864,-0.1327887486823645,-0.06675104913253431,-0.4251186701854976,0.2315935739962131,-0.2976723431942476,-0.06975090333931061,-0.139817425170917,-0.1981111827352142,-0.032936722340545774,-0.027475808752750797,0.002810796554843311,0.06346879221841745,0.04267741679329744,0.09974222371615872,0.04752287857115458,0.3720490932018113,0.0023774642283871422,-0.04926207020807214,0.007856095308306757,-0.049548150439162705,-0.562293573939386,0.23440917833813313,0.008709817016369728,0.003493568533497594,0.0006215294285780756,4.44464066566428e-15,-2.0801750103918926e-14,3.559718459574569e-14,-1.2039955014149445e-14
home_avg_shots_on_target,0.21088334541357248,-0.1650942423367451,0.030019535396098175,-0.25460278452565227,-0.1352820562143513,-0.022015459268993575,0.3472514224094319,-0.23472340270831835,-0.11023609562871552,-0.1525804744663824,-0.07889374507202775,0.2792411415995115,-0.04131966086890841,0.002052032883641345,0.06137237908856477,0.024897266135353893,0.08267479235558274,0.0436899113228664,0.25025784603578555,0.01263542072016087,-0.029350970259987664,-0.012433900013797839,-0.05945667490852276,0.6281543642558712,-0.26758671332536965,-0.007483496992435585,-0.005732903052486389,-0.00018979308383526892,-6.816457849977481e-15,2.4226809052083836e-14,-4.171742350729516e-14,1.4024578734878705e-14
home_shot_accuracy,0.07444780544915235,-0.06020306606643238,8.018591676622015e-05,-0.2109317906513334,-0.13324547113370858,0.5425956806808466,0.22516836679255228,0.05683216729426201,-0.11682439560480694,-0.06365421391162408,0.17634659075364123,0.5752119942855484,-0.032743692575810154,-0.003542101674794841,0.004168847602497995,-0.012526374542857335,-0.06105245569645262,-0.0427131066245872,-0.1723870839076119,0.04816679957773956,0.012702024602988735,-0.006252644812389549,-0.02768690617748443,-0.3809485867674763,0.12484142646294673,0.005684703949462496,0.004867951442553743,0.0008051137403831997,1.7448508683511077e-15,-1.2381537369059682e-14,2.1660894961274268e-14,-7.408666380957777e-15
