date,season,home_team,away_team,target_result,target_home_goals,target_away_goals,home_games_played,home_avg_goals_scored,home_avg_goals_conceded,home_avg_goal_diff,home_recent_avg_goals,home_recent_avg_conceded,home_recent_avg_goal_diff,home_avg_shots,home_avg_shots_on_target,home_shot_accuracy,home_venue_games,home_venue_goals_avg,home_venue_conceded_avg,home_clean_sheets_ratio,home_scoring_ratio,home_avg_corners,away_games_played,away_avg_goals_scored,away_avg_goals_conceded,away_avg_goal_diff,away_recent_avg_goals,away_recent_avg_conceded,away_recent_avg_goal_diff,away_avg_shots,away_avg_shots_on_target,away_shot_accuracy,away_venue_games,away_venue_goals_avg,away_venue_conceded_avg,away_clean_sheets_ratio,away_scoring_ratio,away_avg_corners
2018-08-18 11:30:00,202018-to-2019,Cardiff City,Newcastle United,Draw,0,0,1,0.0,2.0,-2.0,0.0,2.0,-2.0,7.0,2.0,0.2857142857142857,0,0.0,0.0,0.0,0.0,4.0,1,1.0,2.0,-1.0,1.0,2.0,-1.0,11.0,3.0,0.2727272727272727,0,0.0,0.0,0.0,1.0,3.0
2018-08-18 14:00:00,202018-to-2019,West Ham United,AFC Bournemouth,AwayWin,1,2,1,0.0,4.0,-4.0,0.0,4.0,-4.0,5.0,3.0,0.6,0,0.0,0.0,0.0,0.0,4.0,1,2.0,0.0,2.0,2.0,0.0,2.0,11.0,5.0,0.45454545454545453,0,0.0,0.0,1.0,1.0,7.0
2018-08-18 14:00:00,202018-to-2019,Tottenham Hotspur,Fulham,HomeWin,3,1,1,2.0,1.0,1.0,2.0,1.0,1.0,13.0,6.0,0.46153846153846156,0,0.0,0.0,0.0,1.0,5.0,1,0.0,2.0,-2.0,0.0,2.0,-2.0,11.0,7.0,0.6363636363636364,0,0.0,0.0,0.0,0.0,5.0
2018-08-18 14:00:00,202018-to-2019,Everton,Southampton,HomeWin,2,1,1,2.0,2.0,0.0,2.0,2.0,0.0,9.0,6.0,0.6666666666666666,0,0.0,0.0,0.0,1.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.4,0,0.0,0.0,1.0,0.0,8.0
2018-08-18 14:00:00,202018-to-2019,Leicester City,Wolverhampton Wanderers,HomeWin,2,0,1,1.0,2.0,-1.0,1.0,2.0,-1.0,8.0,5.0,0.625,0,0.0,0.0,0.0,1.0,5.0,1,2.0,2.0,0.0,2.0,2.0,0.0,10.0,5.0,0.5,0,0.0,0.0,0.0,1.0,3.0
2018-08-18 16:30:00,202018-to-2019,Chelsea,Arsenal,HomeWin,3,2,1,3.0,0.0,3.0,3.0,0.0,3.0,8.0,5.0,0.625,0,0.0,0.0,1.0,1.0,5.0,1,0.0,2.0,-2.0,0.0,2.0,-2.0,8.0,4.0,0.5,0,0.0,0.0,0.0,0.0,2.0
2018-08-19 12:30:00,202018-to-2019,Burnley,Watford,AwayWin,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.5384615384615384,0,0.0,0.0,1.0,0.0,5.0,1,2.0,0.0,2.0,2.0,0.0,2.0,15.0,6.0,0.4,0,0.0,0.0,1.0,1.0,8.0
2018-08-19 12:30:00,202018-to-2019,Manchester City,Huddersfield Town,HomeWin,6,1,1,2.0,0.0,2.0,2.0,0.0,2.0,14.0,9.0,0.6428571428571429,0,0.0,0.0,1.0,1.0,9.0,1,0.0,3.0,-3.0,0.0,3.0,-3.0,6.0,2.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,2.0
2018-08-19 15:00:00,202018-to-2019,Brighton & Hove Albion,Manchester United,HomeWin,3,2,1,0.0,2.0,-2.0,0.0,2.0,-2.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1,2.0,1.0,1.0,2.0,1.0,1.0,8.0,7.0,0.875,0,0.0,0.0,0.0,1.0,2.0
2018-08-20 19:00:00,202018-to-2019,Crystal Palace,Liverpool,AwayWin,0,2,1,2.0,0.0,2.0,2.0,0.0,2.0,11.0,11.0,1.0,0,0.0,0.0,1.0,1.0,5.0,1,4.0,0.0,4.0,4.0,0.0,4.0,16.0,9.0,0.5625,0,0.0,0.0,1.0,1.0,5.0
2018-08-25 11:30:00,202018-to-2019,Wolverhampton Wanderers,Manchester City,Draw,1,1,2,1.0,2.0,-1.0,1.0,2.0,-1.0,10.5,4.5,0.42857142857142855,1,2.0,2.0,0.0,0.5,6.0,2,4.0,0.5,3.5,4.0,0.5,3.5,19.0,12.0,0.631578947368421,1,2.0,0.0,0.5,1.0,9.5
2018-08-25 14:00:00,202018-to-2019,Southampton,Leicester City,AwayWin,1,2,2,0.5,1.0,-0.5,0.5,1.0,-0.5,10.5,4.5,0.42857142857142855,1,0.0,0.0,0.5,0.5,6.5,2,1.5,1.0,0.5,1.5,1.0,0.5,6.5,4.0,0.6153846153846154,1,1.0,2.0,0.5,1.0,3.0
2018-08-25 14:00:00,202018-to-2019,Huddersfield Town,Cardiff City,Draw,0,0,2,0.5,4.5,-4.0,0.5,4.5,-4.0,5.0,2.0,0.4,1,0.0,3.0,0.0,0.5,2.5,2,0.0,1.0,-1.0,0.0,1.0,-1.0,7.5,2.0,0.26666666666666666,1,0.0,2.0,0.5,0.0,4.5
2018-08-25 14:00:00,202018-to-2019,AFC Bournemouth,Everton,Draw,2,2,2,2.0,0.5,1.5,2.0,0.5,1.5,10.0,5.5,0.55,1,2.0,0.0,0.5,1.0,5.5,2,2.0,1.5,0.5,2.0,1.5,0.5,10.0,7.0,0.7,1,2.0,2.0,0.0,1.0,4.0
2018-08-25 14:00:00,202018-to-2019,Arsenal,West Ham United,HomeWin,3,1,2,1.0,2.5,-1.5,1.0,2.5,-1.5,10.5,5.5,0.5238095238095238,1,0.0,2.0,0.0,0.5,1.5,2,0.5,3.0,-2.5,0.5,3.0,-2.5,7.0,4.5,0.6428571428571429,1,0.0,4.0,0.0,0.5,5.0
2018-08-25 16:30:00,202018-to-2019,Liverpool,Brighton & Hove Albion,HomeWin,1,0,2,3.0,0.0,3.0,3.0,0.0,3.0,13.5,8.0,0.5925925925925926,1,4.0,0.0,1.0,1.0,6.0,2,1.5,2.0,-0.5,1.5,2.0,-0.5,6.5,2.0,0.3076923076923077,1,0.0,2.0,0.0,0.5,2.5
2018-08-26 12:30:00,202018-to-2019,Watford,Crystal Palace,HomeWin,2,1,2,2.5,0.5,2.0,2.5,0.5,2.0,11.0,6.5,0.5909090909090909,1,2.0,0.0,0.5,1.0,5.0,2,1.0,1.0,0.0,1.0,1.0,0.0,9.5,7.0,0.7368421052631579,1,2.0,0.0,0.5,0.5,5.5
2018-08-26 15:00:00,202018-to-2019,Fulham,Burnley,HomeWin,4,2,2,0.5,2.5,-2.0,0.5,2.5,-2.0,10.0,5.5,0.55,1,0.0,2.0,0.0,0.5,3.5,2,0.5,1.5,-1.0,0.5,1.5,-1.0,10.0,5.5,0.55,1,0.0,0.0,0.5,0.5,5.0
2018-08-26 15:00:00,202018-to-2019,Newcastle United,Chelsea,AwayWin,1,2,2,0.5,1.0,-0.5,0.5,1.0,-0.5,9.5,5.0,0.5263157894736842,1,1.0,2.0,0.5,0.5,4.0,2,3.0,1.0,2.0,3.0,1.0,2.0,13.5,8.5,0.6296296296296297,1,3.0,0.0,0.5,1.0,5.0
2018-08-27 19:00:00,202018-to-2019,Manchester United,Tottenham Hotspur,AwayWin,0,3,2,2.0,2.0,0.0,2.0,2.0,0.0,8.0,5.5,0.6875,1,2.0,1.0,0.0,1.0,3.5,2,2.5,1.0,1.5,2.5,1.0,1.5,17.5,9.0,0.5142857142857142,1,2.0,1.0,0.0,1.0,5.0
2018-09-01 11:30:00,202018-to-2019,Leicester City,Liverpool,AwayWin,1,2,3,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,7.333333333333333,4.666666666666667,0.6363636363636364,1,2.0,0.0,0.3333333333333333,1.0,3.0,3,2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,14.333333333333334,8.333333333333334,0.5813953488372093,1,2.0,0.0,1.0,1.0,6.666666666666667
2018-09-01 14:00:00,202018-to-2019,Crystal Palace,Southampton,AwayWin,0,2,3,1.0,1.3333333333333333,-0.3333333333333333,1.0,1.3333333333333333,-0.3333333333333333,9.333333333333334,6.0,0.6428571428571429,1,0.0,2.0,0.3333333333333333,0.6666666666666666,4.666666666666667,3,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.6666666666666666,1.3333333333333333,-0.6666666666666666,10.333333333333334,5.0,0.4838709677419355,1,1.0,2.0,0.3333333333333333,0.6666666666666666,7.666666666666667
2018-09-01 14:00:00,202018-to-2019,West Ham United,Wolverhampton Wanderers,AwayWin,0,1,3,0.6666666666666666,3.0,-2.3333333333333335,0.6666666666666666,3.0,-2.3333333333333335,8.333333333333334,5.0,0.6,1,1.0,2.0,0.0,0.6666666666666666,4.0,3,1.0,1.6666666666666667,-0.6666666666666666,1.0,1.6666666666666667,-0.6666666666666666,10.0,4.0,0.4,1,0.0,2.0,0.0,0.6666666666666666,5.666666666666667
2018-09-01 14:00:00,202018-to-2019,Everton,Huddersfield Town,Draw,1,1,3,2.0,1.6666666666666667,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,9.666666666666666,6.0,0.6206896551724138,1,2.0,1.0,0.0,1.0,3.3333333333333335,3,0.3333333333333333,3.0,-2.6666666666666665,0.3333333333333333,3.0,-2.6666666666666665,4.666666666666667,2.0,0.42857142857142855,1,1.0,6.0,0.3333333333333333,0.3333333333333333,4.0
2018-09-01 14:00:00,202018-to-2019,Chelsea,AFC Bournemouth,HomeWin,2,0,3,2.6666666666666665,1.0,1.6666666666666667,2.6666666666666665,1.0,1.6666666666666667,12.666666666666666,7.0,0.5526315789473685,1,3.0,2.0,0.3333333333333333,1.0,5.0,3,2.0,1.0,1.0,2.0,1.0,1.0,12.0,5.666666666666667,0.4722222222222222,1,2.0,1.0,0.3333333333333333,1.0,5.666666666666667
2018-09-01 14:00:00,202018-to-2019,Brighton & Hove Albion,Fulham,Draw,2,2,3,1.0,1.6666666666666667,-0.6666666666666666,1.0,1.6666666666666667,-0.6666666666666666,6.0,2.3333333333333335,0.3888888888888889,1,3.0,2.0,0.0,0.3333333333333333,3.3333333333333335,3,1.6666666666666667,2.3333333333333335,-0.6666666666666666,1.6666666666666667,2.3333333333333335,-0.6666666666666666,14.333333333333334,8.0,0.5581395348837209,1,1.0,3.0,0.0,0.6666666666666666,4.333333333333333
2018-09-01 16:30:00,202018-to-2019,Manchester City,Newcastle United,HomeWin,2,1,3,3.0,0.6666666666666666,2.3333333333333335,3.0,0.6666666666666666,2.3333333333333335,17.0,10.333333333333334,0.6078431372549019,1,6.0,1.0,0.3333333333333333,1.0,9.333333333333334,3,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.6666666666666666,1.3333333333333333,-0.6666666666666666,8.0,4.333333333333333,0.5416666666666666,1,0.0,0.0,0.3333333333333333,0.6666666666666666,4.0
2018-09-02 12:30:00,202018-to-2019,Cardiff City,Arsenal,AwayWin,2,3,3,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,8.666666666666666,3.0,0.34615384615384615,1,0.0,0.0,0.6666666666666666,0.0,5.333333333333333,3,1.6666666666666667,2.0,-0.3333333333333333,1.6666666666666667,2.0,-0.3333333333333333,11.333333333333334,7.333333333333333,0.6470588235294118,1,2.0,3.0,0.0,0.6666666666666666,3.3333333333333335
2018-09-02 15:00:00,202018-to-2019,Burnley,Manchester United,AwayWin,0,2,3,1.0,2.3333333333333335,-1.3333333333333333,1.0,2.3333333333333335,-1.3333333333333333,9.333333333333334,4.666666666666667,0.5,1,1.0,3.0,0.3333333333333333,0.6666666666666666,4.666666666666667,3,1.3333333333333333,2.3333333333333335,-1.0,1.3333333333333333,2.3333333333333335,-1.0,11.333333333333334,5.666666666666667,0.5,1,2.0,3.0,0.0,0.6666666666666666,4.0
2018-09-02 15:00:00,202018-to-2019,Watford,Tottenham Hotspur,HomeWin,2,1,3,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,10.666666666666666,6.333333333333333,0.59375,2,2.0,0.5,0.3333333333333333,1.0,5.333333333333333,3,2.6666666666666665,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,2.0,14.333333333333334,8.0,0.5581395348837209,2,2.5,0.5,0.3333333333333333,1.0,4.0
2018-09-15 11:30:00,202018-to-2019,Tottenham Hotspur,Liverpool,AwayWin,1,2,4,2.25,1.0,1.25,2.25,1.0,1.25,13.25,6.75,0.5094339622641509,1,3.0,1.0,0.25,1.0,5.5,4,2.25,0.25,2.0,2.25,0.25,2.0,13.0,7.5,0.5769230769230769,2,2.0,0.5,0.75,1.0,6.0
2018-09-15 14:00:00,202018-to-2019,Manchester City,Fulham,HomeWin,3,0,4,2.75,0.75,2.0,2.75,0.75,2.0,17.25,10.0,0.5797101449275363,2,4.0,1.0,0.25,1.0,8.0,4,1.75,2.25,-0.5,1.75,2.25,-0.5,13.0,7.5,0.5769230769230769,2,1.5,2.5,0.0,0.75,3.5
2018-09-15 14:00:00,202018-to-2019,Huddersfield Town,Crystal Palace,AwayWin,0,1,4,0.5,2.5,-2.0,0.5,2.5,-2.0,5.5,3.25,0.5909090909090909,2,0.0,1.5,0.25,0.5,3.75,4,0.75,1.5,-0.75,0.75,1.5,-0.75,10.5,6.25,0.5952380952380952,2,1.5,1.0,0.25,0.5,5.25
2018-09-15 14:00:00,202018-to-2019,Newcastle United,Arsenal,AwayWin,1,2,4,0.75,1.5,-0.75,0.75,1.5,-0.75,7.0,4.0,0.5714285714285714,2,1.0,2.0,0.25,0.75,3.0,4,2.0,2.0,0.0,2.0,2.0,0.0,12.5,8.5,0.68,2,2.5,2.5,0.0,0.75,4.75
2018-09-15 14:00:00,202018-to-2019,AFC Bournemouth,Leicester City,HomeWin,4,2,4,1.5,1.25,0.25,1.5,1.25,0.25,11.0,4.75,0.4318181818181818,2,2.0,1.0,0.25,0.75,5.75,4,1.5,1.25,0.25,1.5,1.25,0.25,7.75,5.0,0.6451612903225806,2,1.5,1.5,0.25,1.0,3.25
2018-09-15 14:00:00,202018-to-2019,Chelsea,Cardiff City,HomeWin,4,1,4,2.5,0.75,1.75,2.5,0.75,1.75,12.75,7.0,0.5490196078431373,2,2.5,1.0,0.5,1.0,5.5,4,0.5,1.25,-0.75,0.5,1.25,-0.75,10.0,3.25,0.325,2,0.0,1.0,0.5,0.25,4.75
2018-09-15 16:30:00,202018-to-2019,Watford,Manchester United,AwayWin,1,2,4,2.25,0.75,1.5,2.25,0.75,1.5,9.75,5.75,0.5897435897435898,3,2.0,0.6666666666666666,0.25,1.0,4.75,4,1.5,1.75,-0.25,1.5,1.75,-0.25,12.5,6.75,0.54,2,2.0,1.5,0.25,0.75,4.25
2018-09-16 12:30:00,202018-to-2019,Wolverhampton Wanderers,Burnley,HomeWin,1,0,4,1.0,1.25,-0.25,1.0,1.25,-0.25,11.0,4.75,0.4318181818181818,2,1.5,1.5,0.25,0.75,5.25,4,0.75,2.25,-1.5,0.75,2.25,-1.5,9.25,4.25,0.4594594594594595,2,1.0,2.0,0.25,0.5,4.0
2018-09-16 15:00:00,202018-to-2019,Everton,West Ham United,AwayWin,1,3,4,1.75,1.5,0.25,1.75,1.5,0.25,9.75,5.0,0.5128205128205128,2,1.5,1.0,0.0,1.0,3.5,4,0.5,2.5,-2.0,0.5,2.5,-2.0,8.5,4.75,0.5588235294117647,2,0.5,3.5,0.0,0.5,4.0
2018-09-17 19:00:00,202018-to-2019,Southampton,Brighton & Hove Albion,Draw,2,2,4,1.0,1.0,0.0,1.0,1.0,0.0,11.0,5.5,0.5,2,0.5,1.0,0.5,0.75,6.75,4,1.25,1.75,-0.5,1.25,1.75,-0.5,7.75,3.25,0.41935483870967744,2,0.0,1.5,0.0,0.5,4.25
2018-09-22 11:30:00,202018-to-2019,Fulham,Watford,Draw,1,1,5,1.4,2.4,-1.0,1.4,2.4,-1.0,12.2,6.8,0.5573770491803278,2,2.0,2.0,0.0,0.6,3.6,5,2.0,1.0,1.0,2.0,1.0,1.0,9.6,5.8,0.6041666666666666,1,3.0,1.0,0.2,1.0,5.0
2018-09-22 14:00:00,202018-to-2019,Manchester United,Wolverhampton Wanderers,Draw,1,1,5,1.6,1.6,0.0,1.6,1.6,0.0,11.6,6.8,0.5862068965517241,2,1.0,2.0,0.2,0.8,5.0,5,1.0,1.0,0.0,1.0,1.0,0.0,13.0,5.4,0.4153846153846154,2,0.5,1.0,0.4,0.8,5.8
2018-09-22 14:00:00,202018-to-2019,Leicester City,Huddersfield Town,HomeWin,3,1,5,1.6,1.8,-0.2,1.6,1.8,-0.2,8.8,5.8,0.6590909090909091,2,1.5,1.0,0.2,1.0,3.8,5,0.4,2.2,-1.8,0.4,2.2,-1.8,6.8,3.2,0.47058823529411764,2,1.0,3.5,0.2,0.4,4.0
2018-09-22 14:00:00,202018-to-2019,Liverpool,Southampton,HomeWin,3,0,5,2.2,0.4,1.8,2.2,0.4,1.8,13.6,8.2,0.6029411764705882,2,2.5,0.0,0.6,1.0,5.6,5,1.2,1.2,0.0,1.2,1.2,0.0,11.2,5.6,0.5,2,1.5,1.0,0.4,0.8,5.6
2018-09-22 14:00:00,202018-to-2019,Cardiff City,Manchester City,AwayWin,0,5,5,0.6,1.8,-1.2,0.6,1.8,-1.2,9.4,3.2,0.3404255319148936,2,1.0,1.5,0.4,0.4,4.6,5,2.8,0.6,2.2,2.8,0.6,2.2,17.4,10.0,0.5747126436781609,2,1.5,0.5,0.4,1.0,8.4
2018-09-22 14:00:00,202018-to-2019,Burnley,AFC Bournemouth,HomeWin,4,0,5,0.6,2.0,-1.4,0.6,2.0,-1.4,9.0,4.0,0.4444444444444444,2,0.5,2.5,0.2,0.4,3.6,5,2.0,1.4,0.6,2.0,1.4,0.6,10.4,5.0,0.4807692307692308,2,1.0,1.5,0.2,0.8,5.4
2018-09-22 14:00:00,202018-to-2019,Crystal Palace,Newcastle United,Draw,0,0,5,0.8,1.2,-0.4,0.8,1.2,-0.4,9.4,5.6,0.5957446808510638,2,0.0,2.0,0.4,0.6,4.8,5,0.8,1.6,-0.8,0.8,1.6,-0.8,6.2,3.8,0.6129032258064516,2,0.5,1.0,0.2,0.8,4.4
