iter	Logloss
0	0.6778536759
1	0.6640180855
2	0.6545580833
3	0.6455403771
4	0.6386322184
5	0.6318803084
6	0.6268571098
7	0.6224331555
8	0.6194845429
9	0.6164577861
10	0.6135885649
11	0.6111249372
12	0.6093560443
13	0.6077587794
14	0.6062763102
15	0.6049584637
16	0.6039269319
17	0.602904272
18	0.6018728581
19	0.6009206555
20	0.6000161082
21	0.5990526181
22	0.598396868
23	0.5972769333
24	0.5966059306
25	0.5957314107
26	0.5950887348
27	0.5941618854
28	0.5931749386
29	0.5925820137
30	0.5920024483
31	0.591429076
32	0.5906976449
33	0.589950316
34	0.5892311887
35	0.588909198
36	0.5883479933
37	0.5878262481
38	0.587396304
39	0.5870136425
40	0.5864075407
41	0.5858854401
42	0.5852087213
43	0.5845942401
44	0.583942372
45	0.5834118358
46	0.5829944647
47	0.5823636582
48	0.5816254424
49	0.5809583747
50	0.5803722749
51	0.579826506
52	0.5789728292
53	0.5781821671
54	0.5773475856
55	0.5766652733
56	0.5760352367
57	0.5755839973
58	0.5753149209
59	0.5748888018
60	0.5741301113
61	0.5736703317
62	0.5730868667
63	0.5726410582
64	0.5720780726
65	0.571746941
66	0.5714095537
67	0.5708600348
68	0.5704384449
69	0.5699072404
70	0.5694522539
71	0.5692006667
72	0.5686748537
73	0.5679874264
74	0.5674707053
75	0.5671322655
76	0.5666343815
77	0.5661736924
78	0.5657056983
79	0.5651304092
80	0.5643626328
81	0.5639571616
82	0.5634463907
83	0.5632632997
84	0.5628373311
85	0.5624050346
86	0.5619196085
87	0.5611675246
88	0.5605297317
89	0.5597956117
90	0.5592955317
91	0.5586503434
92	0.5579940623
93	0.5574409977
94	0.5568464184
95	0.5562028328
96	0.5555811932
97	0.5550258348
98	0.5543261677
99	0.5532471544
