iter	Passed	Remaining
0	24	2378
1	43	2152
2	66	2158
3	94	2266
4	123	2341
5	144	2271
6	162	2164
7	191	2204
8	224	2273
9	260	2344
10	284	2304
11	308	2262
12	337	2261
13	382	2351
14	416	2357
15	434	2281
16	471	2300
17	503	2293
18	536	2285
19	569	2277
20	592	2227
21	602	2135
22	611	2047
23	622	1970
24	633	1899
25	642	1828
26	655	1771
27	664	1707
28	673	1648
29	697	1627
30	729	1624
31	762	1621
32	789	1603
33	816	1585
34	831	1544
35	853	1517
36	872	1486
37	888	1449
38	915	1431
39	947	1420
40	965	1389
41	997	1377
42	1025	1359
43	1069	1360
44	1104	1349
45	1128	1325
46	1158	1306
47	1195	1295
48	1233	1283
49	1261	1261
50	1291	1240
51	1336	1233
52	1369	1214
53	1384	1179
54	1399	1145
55	1421	1116
56	1441	1087
57	1476	1069
58	1514	1052
59	1559	1039
60	1616	1033
61	1627	997
62	1638	962
63	1648	927
64	1657	892
65	1666	858
66	1677	826
67	1692	796
68	1702	764
69	1712	734
70	1725	704
71	1741	677
72	1758	650
73	1768	621
74	1777	592
75	1786	564
76	1794	536
77	1806	509
78	1814	482
79	1823	455
80	1832	429
81	1840	403
82	1850	378
83	1859	354
84	1868	329
85	1879	305
86	1889	282
87	1898	258
88	1907	235
89	1916	212
90	1926	190
91	1936	168
92	1944	146
93	1953	124
94	1962	103
95	1972	82
96	1982	61
97	1992	40
98	2000	20
99	2009	0
