iter	Passed	Remaining
0	182	18096
1	285	13998
2	386	12491
3	486	11684
4	598	11376
5	735	11530
6	840	11169
7	923	10623
8	1006	10178
9	1098	9885
10	1183	9577
11	1247	9148
12	1326	8875
13	1396	8579
14	1506	8539
15	1583	8314
16	1653	8070
17	1747	7960
18	1824	7778
19	1914	7656
20	2014	7578
21	2193	7778
22	2287	7657
23	2363	7483
24	2437	7311
25	2497	7108
26	2568	6945
27	2626	6754
28	2685	6574
29	2740	6394
30	2801	6236
31	2866	6091
32	2920	5929
33	2970	5765
34	3030	5627
35	3086	5487
36	3179	5414
37	3274	5342
38	3330	5208
39	3388	5083
40	3447	4960
41	3519	4860
42	3592	4762
43	3663	4662
44	3723	4550
45	3773	4429
46	3866	4359
47	4012	4346
48	4089	4256
49	4202	4202
50	4312	4143
51	4424	4084
52	4517	4006
53	4588	3908
54	4663	3815
55	4727	3714
56	4829	3643
57	4911	3556
58	4998	3473
59	5094	3396
60	5172	3307
61	5258	3222
62	5344	3139
63	5490	3088
64	5564	2996
65	5629	2900
66	5699	2807
67	5768	2714
68	5843	2625
69	5905	2530
70	5982	2443
71	6041	2349
72	6190	2289
73	6319	2220
74	6403	2134
75	6478	2045
76	6554	1957
77	6663	1879
78	6774	1800
79	6876	1719
80	6981	1637
81	7100	1558
82	7195	1473
83	7313	1393
84	7420	1309
85	7581	1234
86	7670	1146
87	7761	1058
88	7839	968
89	7906	878
90	7980	789
91	8060	700
92	8118	611
93	8173	521
94	8225	432
95	8289	345
96	8356	258
97	8428	172
98	8494	85
99	8552	0
