iter	Passed	Remaining
0	168	16640
1	227	11139
2	289	9365
3	344	8257
4	424	8068
5	521	8175
6	619	8231
7	708	8151
8	821	8310
9	923	8315
10	1072	8679
11	1163	8534
12	1321	8841
13	1480	9094
14	1551	8792
15	1614	8474
16	1694	8272
17	1765	8044
18	1823	7772
19	1892	7569
20	1967	7402
21	2046	7254
22	2101	7035
23	2168	6868
24	2218	6656
25	2264	6444
26	2333	6307
27	2398	6166
28	2454	6008
29	2515	5870
30	2655	5911
31	2886	6134
32	2964	6018
33	3058	5936
34	3135	5822
35	3222	5729
36	3306	5630
37	3400	5548
38	3494	5465
39	3568	5352
40	3638	5235
41	3719	5136
42	3802	5040
43	3894	4956
44	3978	4862
45	4046	4750
46	4128	4655
47	4188	4537
48	4292	4468
49	4368	4368
50	4451	4277
51	4532	4184
52	4596	4076
53	4664	3973
54	4762	3896
55	4839	3802
56	4972	3751
57	5087	3683
58	5217	3625
59	5290	3526
60	5443	3480
61	5540	3395
62	5601	3289
63	5665	3186
64	5727	3084
65	5798	2986
66	5878	2895
67	5930	2790
68	6001	2696
69	6060	2597
70	6159	2515
71	6308	2453
72	6385	2361
73	6480	2276
74	6545	2181
75	6619	2090
76	6713	2005
77	6804	1919
78	6885	1830
79	6945	1736
80	7068	1658
81	7139	1567
82	7216	1478
83	7320	1394
84	7398	1305
85	7523	1224
86	7597	1135
87	7679	1047
88	7752	958
89	7824	869
90	7899	781
91	7982	694
92	8037	604
93	8103	517
94	8159	429
95	8224	342
96	8306	256
97	8386	171
98	8475	85
99	8550	0
