iter	MultiClass
0	1.07337671
1	1.054720233
2	1.039081093
3	1.027048841
4	1.016600888
5	1.00816521
6	1.000945774
7	0.9945405262
8	0.9893871572
9	0.9852734103
10	0.981575178
11	0.9785213843
12	0.9763305763
13	0.9738322319
14	0.9717968856
15	0.9699107389
16	0.9685335979
17	0.9670927496
18	0.9658745094
19	0.964612478
20	0.9636114197
21	0.9628904213
22	0.9618035684
23	0.9610499469
24	0.9602370884
25	0.9595799642
26	0.9587770042
27	0.9582073788
28	0.9577191655
29	0.9569536015
30	0.9563733141
31	0.9561250861
32	0.9555928086
33	0.9551086139
34	0.954561521
35	0.9541239326
36	0.9534894929
37	0.9529368163
38	0.9525498172
39	0.9521361724
40	0.9519771756
41	0.9514559288
42	0.9510274485
43	0.950480903
44	0.9501606316
45	0.949691075
46	0.9492528453
47	0.9488564859
48	0.94829793
49	0.9477889709
50	0.9471842457
51	0.9465565877
52	0.9459413212
53	0.9455367576
54	0.945012079
55	0.9444506348
56	0.9438498098
57	0.94340698
58	0.9431025316
59	0.9425874379
60	0.942228261
61	0.9416906145
62	0.9412582016
63	0.9406715116
64	0.9403486053
65	0.9397874586
66	0.9394961082
67	0.9391373517
68	0.9388113113
69	0.9384341693
70	0.9379154758
71	0.9375274618
72	0.9371419109
73	0.9368914943
74	0.9363688867
75	0.9357674746
76	0.9352782709
77	0.934863316
78	0.9344883752
79	0.9340344284
80	0.9335370304
81	0.932914897
82	0.9324601951
83	0.9322212165
84	0.9319340635
85	0.9314857825
86	0.9311928139
87	0.9308801903
88	0.9302292113
89	0.9299412135
90	0.9295933375
91	0.9292240246
92	0.9288347054
93	0.9284815715
94	0.928129949
95	0.9276958042
96	0.9271872392
97	0.9265980137
98	0.9261772861
99	0.9257797687
