iter	Passed	Remaining
0	102	10140
1	173	8501
2	250	8097
3	288	6935
4	334	6359
5	361	5662
6	382	5080
7	477	5486
8	544	5508
9	622	5605
10	720	5831
11	794	5828
12	860	5760
13	894	5493
14	912	5170
15	930	4882
16	986	4818
17	1074	4895
18	1130	4820
19	1179	4719
20	1253	4714
21	1320	4681
22	1374	4600
23	1421	4501
24	1466	4398
25	1503	4279
26	1521	4114
27	1532	3940
28	1543	3778
29	1551	3620
30	1560	3473
31	1588	3375
32	1624	3298
33	1675	3252
34	1699	3157
35	1710	3040
36	1719	2928
37	1730	2822
38	1739	2720
39	1748	2622
40	1756	2527
41	1768	2441
42	1778	2357
43	1787	2274
44	1799	2199
45	1810	2125
46	1820	2053
47	1834	1987
48	1852	1928
49	1874	1874
50	1899	1824
51	1910	1763
52	1921	1704
53	1940	1652
54	1968	1610
55	1985	1559
56	2011	1517
57	2067	1496
58	2117	1471
59	2172	1448
60	2246	1436
61	2294	1406
62	2369	1391
63	2429	1366
64	2462	1326
65	2495	1285
66	2540	1251
67	2568	1208
68	2594	1165
69	2639	1131
70	2669	1090
71	2710	1054
72	2758	1020
73	2832	995
74	2898	966
75	2968	937
76	3034	906
77	3078	868
78	3149	837
79	3202	800
80	3262	765
81	3340	733
82	3422	701
83	3509	668
84	3582	632
85	3619	589
86	3660	546
87	3692	503
88	3739	462
89	3782	420
90	3821	377
91	3873	336
92	3923	295
93	3978	253
94	4011	211
95	4047	168
96	4102	126
97	4167	85
98	4249	42
99	4327	0
