iter	Passed	Remaining
0	103	10277
1	142	6993
2	191	6186
3	213	5130
4	222	4226
5	232	3635
6	240	3198
7	249	2872
8	259	2621
9	305	2745
10	374	3030
11	411	3015
12	419	2805
13	427	2623
14	436	2470
15	445	2337
16	455	2222
17	463	2113
18	478	2040
19	486	1945
20	494	1860
21	502	1782
22	510	1710
23	519	1644
24	554	1664
25	579	1648
26	596	1611
27	625	1608
28	661	1618
29	712	1662
30	805	1792
31	890	1892
32	959	1947
33	1010	1961
34	1058	1965
35	1106	1967
36	1160	1975
37	1202	1961
38	1244	1946
39	1281	1922
40	1322	1903
41	1376	1901
42	1407	1866
43	1436	1827
44	1508	1843
45	1561	1832
46	1596	1799
47	1651	1789
48	1693	1762
49	1732	1732
50	1773	1704
51	1819	1679
52	1859	1649
53	1908	1625
54	1962	1605
55	2006	1576
56	2056	1551
57	2106	1525
58	2142	1489
59	2185	1456
60	2242	1433
61	2284	1400
62	2320	1362
63	2370	1333
64	2405	1295
65	2438	1256
66	2476	1219
67	2517	1184
68	2561	1150
69	2596	1112
70	2634	1076
71	2669	1038
72	2714	1003
73	2741	963
74	2784	928
75	2832	894
76	2876	859
77	2913	821
78	2964	787
79	3024	756
80	3082	723
81	3127	686
82	3175	650
83	3209	611
84	3239	571
85	3286	534
86	3340	499
87	3379	460
88	3423	423
89	3463	384
90	3532	349
91	3610	313
92	3657	275
93	3687	235
94	3725	196
95	3765	156
96	3806	117
97	3843	78
98	3883	39
99	3905	0
